"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-03-05",2,0,0,0,0,0,0,0,0,0,0
"2","2017-03-02",18,0,0,0,0,0,0,0,0,1,0
"3","2017-03-01",25,0,0,0,0,0,0,0,0,0,0
"4","2017-02-28",11,0,0,0,0,0,0,0,0,0,1
"5","2017-02-24",18,0,0,0,0,0,1,0,1,1,3
"6","2017-02-23",89,0,1,0,1,1,0,1,1,1,2
"7","2017-02-22",16,0,0,0,0,0,0,0,2,0,2
