,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days,surprise
95288,1.6095,-6.2812,8.3532,2.5825,-0.3351,2.2524,14.412,24.88,2.3862,-0.031859,3,5.1
95289,1.5907,-6.2812,8.4371,2.613,-0.32191,2.2791,14.582,25.174,2.4144,-0.043987,4,5.1
95290,1.5703,-6.2812,8.5301,2.6469,-0.3339,2.3086,14.771,25.501,2.4457,-0.032681,5,5.1
95291,1.6005,-6.2812,8.3929,2.5969,-0.36582,2.265,14.493,25.019,2.3995,-0.020144,6,5.1
95298,2.3589,23.93,5.3076,4.0822,-0.32765,3.364,9.4162,8.1888,2.1513,-0.036993,1,9.3
95299,2.3574,23.93,5.3108,4.0848,-0.33063,3.3662,9.4223,8.1941,2.1527,-0.058701,2,9.3
95300,2.4026,23.93,5.2166,4.008,-0.32773,3.3029,9.2451,8.04,2.1122,-0.058094,3,9.3
95301,2.3179,23.93,5.3963,4.1545,-0.33882,3.4236,9.583,8.3339,2.1894,-0.075807,4,9.3
95302,2.3752,23.93,5.2734,4.0543,-0.36869,3.341,9.3519,8.1329,2.1366,-0.042028,5,9.3
95303,2.4085,23.93,5.2046,3.9982,-0.37515,3.2948,9.2225,8.0204,2.107,-0.065127,6,9.3
95388,1.1201,103.77,17.823,3.6812,-0.22882,3.2686,26.781,37.172,3.4403,-0.021107,1,-9.7
95389,1.1336,103.77,17.617,3.6375,-0.22919,3.2298,26.463,36.731,3.3995,-0.012078,2,-9.7
95390,1.0791,103.77,18.48,3.821,-0.22064,3.3927,27.799,38.584,3.571,-0.023804,3,-9.7
95391,1.0976,103.77,18.178,3.7568,-0.25863,3.3357,27.331,37.935,3.511,0.025445,4,-9.7
95392,1.0888,103.77,18.32,3.7869,-0.25824,3.3624,27.551,38.24,3.5392,0.0082086,5,-9.7
95393,1.0605,103.77,18.797,3.8883,-0.27747,3.4524,28.288,39.263,3.6339,0.0163,6,-9.7
95400,2.8248,-5.1303,8.845,1.7953,-0.20625,1.4534,14.094,6.6014,1.1689,0.07108,1,13.2
95401,2.8333,-5.1303,8.8181,1.7899,-0.20551,1.4491,14.052,6.5816,1.1654,0.08736,2,13.2
95402,2.8418,-5.1303,8.7912,1.7845,-0.2041,1.4447,14.009,6.5619,1.1619,0.084101,3,13.2
95403,2.7914,-5.1303,8.9526,1.8168,-0.20414,1.4708,14.262,6.6804,1.1829,0.080849,4,13.2
95404,2.8024,-5.1303,8.9167,1.8096,-0.22499,1.465,14.206,6.6541,1.1783,0.10038,5,13.2
95405,2.8108,-5.1303,8.8898,1.8042,-0.22577,1.4607,14.164,6.6343,1.1748,0.09604,6,13.2
95424,0.9708,19.804,9.2903,3.5249,-0.22374,3.2533,18.017,236.49,1.8734,0.0091861,1,7.4
95425,0.8992,19.804,9.9954,3.8054,-0.24097,3.5123,19.451,255.32,2.0226,0.025771,2,7.4
95426,0.904,19.804,9.9447,3.7853,-0.30763,3.4937,19.348,253.97,2.0119,0.10743,3,7.4
95427,0.8893,19.804,10.101,3.8475,-0.32134,3.5511,19.666,258.14,2.0449,0.10156,4,7.4
95428,0.8672,19.804,10.348,3.9457,-0.34223,3.6418,20.168,264.73,2.0971,0.11967,5,7.4
95429,0.8575,19.804,10.46,3.9904,-0.32698,3.683,20.396,267.73,2.1209,0.14825,6,7.4
95442,3.6536,-11.414,10.157,5.4492,-0.18946,4.4535,13.256,15.67,2.738,0.0049291,1,-0.4
95443,3.6686,-11.414,10.119,5.4269,-0.18131,4.4352,13.201,15.606,2.7268,0.006263,2,-0.4
95444,3.7091,-11.414,10.02,5.3677,-0.17895,4.3868,13.057,15.436,2.697,0.0021311,3,-0.4
95445,3.7633,-11.414,9.891,5.2904,-0.18163,4.3237,12.87,15.214,2.6582,-0.0088008,4,-0.4
95446,3.7433,-11.414,9.9381,5.3186,-0.17496,4.3467,12.938,15.295,2.6724,-0.023067,5,-0.4
95447,3.7535,-11.414,9.9139,5.3041,-0.16014,4.3349,12.903,15.253,2.6651,-0.017862,6,-0.4
95454,1.6078,2.5455,8.369,3.0263,-0.34867,2.5988,14.675,16.41,2.1879,0.0010326,1,4.4
95455,1.5904,2.5455,8.4408,3.0595,-0.36733,2.6273,14.836,16.59,2.2119,0.038583,2,4.4
95456,1.5926,2.5455,8.4315,3.0552,-0.37088,2.6236,14.815,16.567,2.2088,0.049967,3,4.4
95457,1.6303,2.5455,8.2787,2.9845,-0.39572,2.5629,14.472,16.184,2.1577,0.04849,4,4.4
95458,1.5998,2.5455,8.4017,3.0414,-0.39303,2.6118,14.748,16.492,2.1988,0.024245,5,4.4
95459,1.5716,2.5455,8.52,3.0961,-0.3909,2.6588,15.013,16.789,2.2383,0.043762,6,4.4
95472,1.7523,-9.939,11.544,3.3228,-0.18916,3.0304,13.784,6.0651,1.6283,-0.0045651,1,-2.6
95473,1.7657,-9.939,11.5,3.2976,-0.16445,3.0074,13.679,6.019,1.6159,-0.026087,2,-2.6
95474,1.7625,-9.939,11.51,3.3035,-0.14546,3.0129,13.704,6.0299,1.6188,-0.033477,3,-2.6
95475,1.7898,-9.939,11.422,3.2531,-0.17435,2.9669,13.494,5.9378,1.5941,-0.031737,4,-2.6
95476,1.8096,-9.939,11.36,3.2175,-0.1564,2.9344,13.347,5.8728,1.5767,-0.046521,5,-2.6
95477,1.8005,-9.939,11.388,3.2338,-0.1346,2.9493,13.414,5.9026,1.5847,-0.056957,6,-2.6
95490,1.6847,0.2445,6.7882,3.8227,-0.32902,3.2534,11.156,13.209,2.4934,0.021822,1,23
95491,1.668,0.2445,6.8618,3.861,-0.32561,3.2859,11.268,13.341,2.5183,0.0020637,2,23
95492,1.6468,0.2445,6.9289,3.8959,-0.32714,3.3282,11.413,13.513,2.5507,0.012089,3,23
95493,1.6641,0.2445,6.8509,3.8554,-0.34591,3.2936,11.294,13.373,2.5242,0.025116,4,23
95494,1.6818,0.2445,6.773,3.8149,-0.35481,3.259,11.175,13.232,2.4977,0.01446,5,23
95495,1.6294,0.2445,7.0089,3.9375,-0.33202,3.3638,11.535,13.657,2.578,0.0038036,6,23
95544,6.978,89.506,6.3388,2.6678,-0.25895,2.0221,13.493,4.618,0.7327,0.015606,1,-1.1
95545,6.9608,89.506,6.347,2.6744,-0.27862,2.0271,13.526,4.6294,0.7345,0.032916,2,-1.1
95546,7.1288,89.506,6.2687,2.6114,-0.2934,1.9793,13.207,4.5203,0.7172,0.035469,3,-1.1
95547,7.1308,89.506,6.2678,2.6106,-0.27413,1.9787,13.204,4.519,0.717,0.011064,4,-1.1
95548,7.003,89.506,6.3269,2.6583,-0.26924,2.0148,13.444,4.6015,0.7301,0.010783,5,-1.1
95549,7.0243,89.506,6.3169,2.6502,-0.27942,2.0087,13.404,4.5875,0.7278,0.029228,6,-1.1
95586,1.0573,103.45,11.322,1.7569,-0.13091,1.5241,8.8808,10.425,4.4427,0.07994,1,-2.3
95587,1.0391,103.45,11.546,1.7875,-0.13142,1.5507,9.0358,10.607,4.5203,0.10896,2,-2.3
95588,1.0563,103.45,11.334,1.7585,-0.16995,1.5255,8.889,10.435,4.4468,0.12831,3,-2.3
95589,1.0368,103.45,11.575,1.7916,-0.18028,1.5542,9.0562,10.631,4.5305,0.10998,4,-2.3
95590,1.0149,103.45,11.857,1.8303,-0.19185,1.5877,9.2519,10.861,4.6284,0.13086,5,-2.3
95591,1.0104,103.45,11.916,1.8383,-0.18499,1.5947,9.2926,10.909,4.6488,0.1553,6,-2.3
95628,4.2232,-14.421,7.9902,2.9414,-0.0070297,2.4179,10.379,9.8483,2.2402,-0.018324,1,-0.3
95629,4.2176,-14.421,8.0015,2.9453,0.011188,2.4211,10.393,9.8613,2.2431,-0.026024,2,-0.3
95630,4.2647,-14.421,7.907,2.9128,0.015591,2.3944,10.278,9.7524,2.2184,-0.024738,3,-0.3
95631,4.2818,-14.421,7.8731,2.9011,0.011804,2.3848,10.237,9.7134,2.2095,-0.035518,4,-0.3
95632,4.2211,-14.421,7.9945,2.9429,0.019583,2.4191,10.384,9.8532,2.2413,-0.039378,5,-0.3
95633,4.2218,-14.421,7.9931,2.9424,0.019465,2.4187,10.383,9.8515,2.2409,-0.025557,6,-0.3
95682,0,15.988,17.948,2.9334,-0.28604,2.8195,32.204,29.593,4.5268,-0.0017193,1,14.6
95683,0,15.988,18.033,2.9453,-0.3247,2.8309,32.334,29.713,4.5452,0.062214,2,14.6
95684,0,15.988,17.511,2.8725,-0.34167,2.7609,31.534,28.978,4.4327,0.066515,3,14.6
95685,0,15.988,17.988,2.939,-0.3156,2.8248,32.264,29.649,4.5354,0.040139,4,14.6
95686,0,15.988,18.129,2.9588,-0.32489,2.8438,32.482,29.849,4.5659,0.064221,5,14.6
95687,0,15.988,18.475,3.0071,-0.32646,2.8903,33.012,30.336,4.6405,0.071388,6,14.6
95688,0,16.294,11.515,1.6164,-0.0018727,1.623,21.032,39.772,3.3367,-0.0043505,1,22.6
95689,0,16.294,12.078,1.6815,0.026168,1.6884,21.879,41.374,3.4711,-0.032163,2,22.6
95690,0,16.294,11.746,1.6431,-0.046914,1.6498,21.38,40.429,3.3918,0.0068365,3,22.6
95691,0,16.294,12.006,1.6732,-0.0518,1.6801,21.771,41.17,3.454,-0.016159,4,22.6
95692,0,16.294,12.239,1.7002,-0.066377,1.7072,22.122,41.834,3.5097,0.0018645,5,22.6
95693,0,16.294,12.409,1.7199,-0.073871,1.727,22.379,42.319,3.5504,0.018024,6,22.6
95694,0,-15.289,7.0907,5.4912,0.17584,5.1992,10.817,11.707,4.0895,-0.0039161,1,0.2
95695,0,-15.289,6.9524,5.3915,0.21129,5.1048,10.621,11.495,4.0153,0.03524,2,0.2
