"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"8271",92516,0.7623,6.725,7.4332,2.6529,0.46867,2.3522,11.325,12.306,1.9655,-0.041594,3,-16.1
"16052",160428,0,87.818,25.894,2.707,0.4686,2.7067,26.734,43.496,7.8856,-0.042838,1,20.1
"15971",160023,0.6467,-1.0256,6.5626,1.9574,0.46826,1.9194,17.675,13.834,0.8061,0.021127,4,13.8
"6586",78651,1.538,85.584,8.0518,2.5608,0.46804,2.1137,13.08,7.8886,0.5012,-0.017377,4,6.1
"1922",34903,0,27.57,11.134,2.3038,0.46795,2.0923,19.432,35.384,2.2219,-0.020225,2,23
"1343",28996,0.8347,158.13,6.6703,3.1605,0.46781,2.7298,8.9271,13.176,1.2181,0.14899,5,-12.2
"13784",138234,1.8334,21.008,5.302,1.343,0.46772,1.0855,6.9208,11.317,0.1401,-0.1278,1,56.8
"7036",82911,0,9.6514,18.546,5.3735,0.46759,5.3728,25.608,29.328,4.3756,0.086505,4,5.6
"7615",87072,0,10.268,6.1166,1.8016,0.46758,1.8071,25.151,20.859,3.8981,0.0043119,1,6.7
"18933",186295,6.0392,-12.428,8.7734,2.2354,0.46755,1.8151,36.926,11.825,1.3801,-0.01467,2,-25.9
"1921",34902,0,27.57,11.096,2.2897,0.46753,2.0795,19.313,35.167,2.2082,-0.020675,1,23
"1251",28388,0,16.413,11.937,3.6681,0.46738,2.8676,16.296,17.709,1.9588,-0.050831,3,17
"16437",164107,0,-19.604,17.2,7.019,0.46716,7.0132,26.156,27.345,3.0779,-0.080708,2,3.7
"8811",96182,3.129,8.7616,10.581,5.7472,0.46671,4.8664,18.459,21.557,1.2236,-0.013159,3,14.5
"6585",78650,1.5595,85.584,7.9709,2.5255,0.46654,2.0845,12.9,7.7799,0.4943,-0.0061215,3,6.1
"14913",149665,0,8.4254,21.125,7.1892,0.46653,7.2005,57.324,23.33,5.5117,-0.020364,2,-9.1
"8810",96181,3.1612,8.7616,10.48,5.6885,0.46645,4.8167,18.271,21.337,1.2112,0.00073119,2,14.5
"6070",74745,1.7997,33.333,6.0134,3.1411,0.4663,2.6361,13.218,9.4893,0.9405,0.0094126,4,0.2
"6587",78652,1.555,85.584,7.9878,2.5329,0.46613,2.0906,12.938,7.8025,0.4957,-0.031595,5,6.1
"20590",202922,0.6244,-40.964,13.2,3.4092,0.46613,3.37,24.72,20.721,5.4589,-0.064153,3,36.4
"18932",186294,5.9374,-12.428,8.845,2.2737,0.4661,1.8463,37.559,12.028,1.4038,-0.00122,1,-25.9
"8812",96183,3.0949,8.7616,10.691,5.8105,0.46607,4.92,18.663,21.795,1.2371,-0.023603,4,14.5
"9888",105311,0.6875,42.629,10.77,4.4671,0.46606,4.1287,19.469,307.55,2.2711,-0.078936,6,9.9
"9056",98161,0.5906,2.1004,8.2558,3.4004,0.46595,3.0265,12.69,11.043,2.482,-0.077755,2,1.4
"1105",27462,0,42.527,33.703,3.5461,0.46577,3.0439,49.608,26.243,6.5667,0.013655,1,2
"7321",85212,0,1152.9,7.8237,45.621,0.46573,43.769,53.6,11.733,0.3122,0.029011,1,-2.1
"8273",92518,0.733,6.725,7.7075,2.7589,0.46546,2.4462,11.778,12.798,2.0441,-0.0496,5,-16.1
"18935",186297,6.1988,-12.428,8.6675,2.1787,0.46527,1.7684,35.975,11.521,1.3446,0.019564,4,-25.9
"6545",78400,3.455,15.736,6.6243,1.487,0.4647,0.879,14.35,29.39,0.901,0.019402,5,-20.4
"17762",176610,0,-1.3111,7.3734,3.3456,0.46467,3.3524,10.907,12.683,2.1927,0.016139,1,1.2
"18669",183733,0,3.0488,7.5961,1.92,0.46462,2.0389,19.276,84.301,0.8428,-0.06468,2,8.8
"297",19700,0,11.035,43.257,12.415,0.46459,12.478,56.964,89.971,9.3033,-0.10544,3,6.8
"6846",80969,0.1422,-67.665,10.663,1.7724,0.46457,1.7022,49.946,21.71,0.8841,0.011785,6,7.1
"14440",145094,1.8428,-2.1169,3.7986,2.1571,0.46435,1.9223,7.0593,4.7414,0.2923,0.080207,3,0
"9885",105308,0.683,42.629,10.839,4.4971,0.46431,4.1565,19.599,309.62,2.2864,-0.041258,3,9.9
"6811",80748,0,9.3647,20.513,35.64,0.46427,35.706,45.103,18.944,3.1117,0.0010451,1,9.5
"1252",28389,0,16.413,11.95,3.6721,0.46408,2.8707,16.313,17.728,1.9609,-0.068101,4,17
"9141",99092,0,-101.11,68.852,13.181,0.46398,13.334,329.77,176.06,10.067,0.0082477,3,15.7
"18952",186554,0,-224.49,150.44,3.144,0.46344,3.0935,265.08,180.38,0.3084,0.014827,3,84.2
"18953",186555,0,-224.49,151.77,3.1742,0.46318,3.1232,267.62,182.11,0.3113,0.0074137,4,84.2
"9154",99171,0,-421.2,256.47,2.9721,0.46304,2.6659,14.036,19.384,5.978,0.025586,4,-0.8
"14449",145133,2.0534,-33.018,3.7423,1.1375,0.46289,1.0185,5.5818,9.9807,0.1363,-0.039191,6,18.7
"16439",164109,0,-19.604,17.272,7.0595,0.46276,7.0536,26.306,27.503,3.0956,-0.11241,4,3.7
"13785",138235,1.8342,21.008,5.3,1.3424,0.46235,1.085,6.9176,11.312,0.14,-0.12728,2,56.8
"6584",78649,1.577,85.584,7.9069,2.4976,0.46232,2.0615,12.757,7.6938,0.4888,-0.0069124,2,6.1
"1475",31108,0,30.807,19.694,6.8351,0.46223,6.4057,25.367,15.868,4.4444,0.050447,5,21.9
"9647",103276,0,-0.5646,17.884,4.6032,0.46206,3.5722,27.841,131.15,2.9975,0.090297,5,-15.9
"19450",191660,0,-224.49,23.872,3.1457,0.46178,3.0879,46.959,70.522,0.319,0.0095898,3,-3
"6038",74551,2.8622,59.702,7.1665,1.5351,0.46166,1.4378,22.949,7.6532,0.3584,-0.057846,2,0
"6079",74844,3.5759,41.881,7.4428,2.0951,0.46136,1.5184,13.67,12.288,0.7936,-0.032324,1,0.5
"10018",105951,0.5584,-51.502,16.365,5.0722,0.46104,4.1616,20.14,12.391,2.848,-0.0071449,4,6
"6084",74849,3.5368,41.881,7.556,2.1223,0.46094,1.5352,13.821,12.424,0.8024,-0.048836,6,0.5
"6017",73984,3.584,72.667,9.196,0.9808,0.46088,0.8939,26.887,15.112,0.6043,-0.11008,5,10.6
"5921",72406,0,-64.927,9.4296,1.7409,0.46085,1.7407,18.197,9.9244,1.0741,-0.069119,5,19
"6309",76310,0.8496,68.866,8.8904,5.0719,0.4608,4.7749,15.638,60.982,1.8869,0.0011991,3,6
"7035",82910,0,9.6514,16.855,4.9289,0.46072,4.9289,23.492,26.905,4.014,0.06286,3,5.6
"8706",95753,0,-115.33,7.1644,4.7056,0.46042,4.8666,5.9933,2.7601,0.2242,-0.027812,6,87.2
"6222",75743,1.2294,-13.043,23.635,1.8972,0.46002,1.6254,11.54,21.259,4.6743,0.00053516,6,3.8
"6252",75935,4.9696,-53.791,12.96,3.6623,0.45994,3.0205,21.131,6.4705,0.8013,0.044046,6,44.9
"16388",163398,5.869,3.8482,5.485,2.042,0.45991,0.8459,3.9032,2.8063,0.212,-0.025135,1,6.6
"2442",38687,0,5.3722,9.5493,3.371,0.45986,2.6295,13.002,18.601,1.7775,-0.030644,6,-0.2
"14912",149664,0,8.4254,21.15,7.1988,0.45967,7.2101,57.401,23.361,5.519,-0.027161,1,-9.1
"19451",191661,0,-224.49,23.899,3.149,0.45931,3.0912,47.009,70.598,0.3193,0.0042573,4,-3
"13794",138334,1.7151,-37.447,4.0052,2.2563,0.45924,1.9924,7.3653,7.5271,0.3049,-0.065447,5,7.1
"8922",96959,0.6521,4.698,10.271,2.0747,0.45876,1.6814,15.729,20.04,2.1582,-0.064443,6,9.6
"13499",136533,1.55,22.353,7.4501,5.348,0.45873,4.776,15.063,11.237,1.005,-0.037763,4,-2.7
"13786",138236,1.7884,21.008,5.411,1.3768,0.45853,1.1128,7.0948,11.601,0.1436,-0.12677,3,56.8
"6681",80114,1.9321,9.1537,8.5702,2.3939,0.45851,2.044,15.476,20.538,1.972,-0.044814,3,12.1
"9884",105307,0.7035,42.629,10.484,4.344,0.4584,4.0353,19.028,300.59,2.2197,-0.043329,2,9.9
"17307",171817,0.6528,154.68,6.1876,2.6293,0.45834,2.5397,10.662,12.005,0.7949,-0.010353,2,0.7
"6611",78964,0,-2.0529,10.737,2.086,0.45812,2.0846,22.139,14.408,1.2758,-0.088054,5,9.3
"9642",103199,0.7977,-29.139,8.6466,1.8392,0.45803,1.7278,18.153,10.316,1.2111,-0.072514,6,51.8
"16438",164108,0,-19.604,17.578,7.2314,0.45785,7.2254,26.947,28.172,3.171,-0.079736,3,3.7
"16057",160433,0,87.818,26.393,2.7536,0.45766,2.7533,27.194,44.244,8.0212,0.027012,6,20.1
"6039",74552,2.9319,59.702,7.022,1.4986,0.45734,1.4036,22.403,7.4713,0.3499,-0.015994,3,0
"6371",76828,1.838,-32.63,11.071,1.4599,0.45712,1.1392,15.43,11.764,0.8975,-0.008779,5,25
"9155",99172,0,-421.2,248.42,2.888,0.45703,2.5904,13.638,18.834,5.8087,0.029378,5,-0.8
"6552",78419,2.2789,257.94,6.0188,1.379,0.45697,1.3005,24.838,6.4084,0.3484,-0.062401,6,2.6
"299",19702,0,11.035,42.512,12.211,0.45696,12.273,56.03,88.496,9.1509,-0.075964,5,6.8
"6561",78512,0,76.766,10.674,1.3253,0.45688,1.2668,69.21,12.747,1.0823,0.20321,3,26.7
"8705",95752,0,-115.33,7.0288,4.5459,0.45685,4.7014,5.7899,2.6664,0.2166,-0.048568,5,87.2
"6069",74744,1.8266,33.333,5.9089,3.0948,0.45675,2.5973,13.024,9.3496,0.9267,0.021974,3,0.2
"9055",98160,0.5729,2.1004,8.5096,3.5054,0.4566,3.12,13.081,11.384,2.5586,-0.0058473,1,1.4
"16840",167396,0,26.152,13.159,2.9923,0.45648,2.9795,133.19,17.245,1.2811,-0.10296,3,150
"7322",85213,0,1152.9,7.6337,43.128,0.4562,41.377,50.672,11.092,0.2951,0.016216,2,-2.1
"6251",75934,4.7843,-53.791,13.385,3.8041,0.45616,3.1374,21.95,6.7211,0.8323,0.041182,5,44.9
"15268",153836,1.0414,12.621,14.547,3.3252,0.45605,3.2309,32.921,19.691,5.5402,-0.073149,3,7.8
"9883",105306,0.7021,42.629,10.504,4.3526,0.45587,4.0433,19.066,301.19,2.2241,-0.00075284,1,9.9
"6610",78963,0,-2.0529,10.684,2.0703,0.45574,2.069,21.973,14.3,1.2662,-0.099382,4,9.3
"6551",78418,2.307,257.94,5.9495,1.3622,0.45571,1.2846,24.536,6.3304,0.3442,-0.077809,5,2.6
"15201",153205,1.4872,64.73,10.475,3.8233,0.4555,3.6115,21.878,14.338,0.9355,-0.07509,2,11
"5799",71228,0.9261,-21.709,8.2177,4.6385,0.45549,4.3523,15.019,122.64,1.7369,0.091033,3,-27.1
"14914",149666,0,8.4254,20.871,7.0934,0.45536,7.1045,56.56,23.019,5.4382,-0.019026,3,-9.1
"15969",160021,0.6467,-1.0256,6.5626,1.9574,0.45532,1.9194,17.675,13.834,0.8061,0.042716,2,13.8
"15267",153835,1.0481,12.621,14.444,3.3043,0.45501,3.2105,32.714,19.567,5.5052,-0.064517,2,7.8
"15972",160024,0.6281,-1.0256,6.7607,2.0153,0.45501,1.9762,18.198,14.243,0.83,0.053284,5,13.8
"6923",81748,2.65,140.38,14.041,1.9986,0.455,1.5928,24.015,67.561,0.5019,0.025275,5,43.8
"9144",99095,0,-101.11,69.945,13.379,0.45499,13.534,334.72,178.7,10.218,0.024743,6,15.7
"16055",160431,0,87.818,25.902,2.7078,0.45484,2.7075,26.742,43.509,7.8879,0.017517,4,20.1
"1253",28390,0,16.413,11.616,3.5703,0.45475,2.7911,15.861,17.236,1.9066,-0.069259,5,17
"9826",104799,0,-101.11,89.039,14.943,0.45465,14.945,581.45,282.93,11.134,-0.12179,4,2.9
"5801",71230,0.931,-21.709,8.1851,4.6177,0.45458,4.3296,14.941,122,1.7278,0.14252,5,-27.1
"7670",87829,0,12.511,20.336,6.0063,0.45428,6.0341,29.394,38.299,4.7407,-0.11097,2,9.3
"6541",78396,3.4485,15.736,6.6322,1.4898,0.45381,0.8806,14.377,29.445,0.9027,-0.0036102,1,-20.4
"1219",28062,0.7908,15.29,6.7937,2.4796,0.45377,2.2619,8.5365,8.3086,0.7116,-0.003962,1,13
"296",19699,0,11.035,43.688,12.532,0.45365,12.596,57.503,90.823,9.3914,-0.079692,2,6.8
"10293",108110,0,5.3663,12.145,15.091,0.4536,14.751,24.257,18.733,2.3546,0.080578,3,400
"8920",96957,0.6611,4.698,10.12,2.0465,0.45356,1.6585,15.515,19.767,2.1288,-0.036575,4,9.6
"9648",103277,0,-0.5646,18.174,4.6991,0.45347,3.6467,28.421,133.89,3.0599,0.090719,6,-15.9
"2441",38686,0,5.3722,9.6978,3.4213,0.45306,2.6688,13.196,18.879,1.804,0.019032,5,-0.2
"6040",74553,2.9079,59.702,7.0709,1.5109,0.45276,1.4151,22.587,7.5328,0.3528,0.008164,4,0
"7702",88143,1.391,183.57,8.9046,1.1526,0.45254,1.0636,18.732,6.1859,0.7092,-0.003923,4,17.9
"1244",28369,4.9957,100.85,8.2459,2.56,0.45238,1.9984,7.406,5.1976,1.6839,0.055369,2,-2.9
"16748",166632,0.6837,-44.3,6.9599,2.3235,0.45235,2.2518,18.801,12.623,0.926,-0.0078883,1,9.1
"7096",83391,1.4387,-37.002,9.9874,1.1344,0.45226,1.0424,24.371,6.5481,0.7009,0.053083,4,2
"5798",71227,0.9185,-21.709,8.2777,4.6768,0.45207,4.3882,15.143,123.65,1.7512,0.071652,2,-27.1
"1245",28370,4.7922,100.85,8.4987,2.6687,0.45198,2.0833,7.7205,5.4183,1.7554,0.053158,3,-2.9
"9644",103273,0,-0.5646,17.716,4.5478,0.45192,3.5292,27.506,129.58,2.9614,0.10482,2,-15.9
"8918",96955,0.6534,4.698,10.25,2.0707,0.45191,1.6782,15.699,20.002,2.154,-0.024249,2,9.6
"7153",84330,0,16.609,11.512,3.2657,0.45168,3.0071,32.046,17.55,0.6968,-0.019506,1,14.7
"14439",145093,1.8987,-2.1169,3.6827,2.0936,0.45161,1.8657,6.8515,4.6018,0.2837,0.10848,2,0
"12924",130978,2.2731,49.883,10.592,4.8887,0.45157,4.3611,18.223,15.136,1.0822,-0.071,5,3.9
"22665",224407,0.2835,-38.737,10.149,1.6914,0.45151,1.6863,34.723,16.909,2.4364,0.049194,2,3.9
"6221",75742,1.2452,-13.043,23.32,1.8732,0.45126,1.6048,11.394,20.99,4.6151,0.029913,5,3.8
"16753",166637,0.6772,-44.3,6.9699,2.3267,0.45126,2.2734,18.981,12.745,0.9349,-0.010379,6,9.1
"8921",96958,0.639,4.698,10.497,2.1171,0.45118,1.7157,16.05,20.449,2.2022,-0.02894,5,9.6
"6882",81209,2.7515,-63.235,14.729,1.3608,0.45085,0.7609,8.6118,2.2726,0.3558,-0.043061,6,39.5
"16841",167397,0,26.152,13.09,2.9584,0.45074,2.9457,131.69,17.05,1.2666,-0.15074,4,150
"8509",94620,0,18.442,61.72,14.676,0.45055,14.846,266.75,56.622,11.327,-0.051021,1,3.9
"1460",30715,0,8.1438,17.103,6.0558,0.45044,5.1624,20.652,18.218,4.6181,-0.073901,2,2
"16440",164110,0,-19.604,16.979,6.8951,0.45039,6.8894,25.694,26.862,3.0235,-0.085959,5,3.7
"6642",79619,2.8669,50.616,7.5117,2.5114,0.45008,1.8282,13.79,10.563,0.9754,-0.10788,6,0
"16838",167394,0,26.152,12.871,2.8499,0.44996,2.8378,126.86,16.425,1.2202,-0.085142,1,150
"15970",160022,0.6255,-1.0256,6.7899,2.0239,0.44972,1.9846,18.275,14.304,0.8335,0.053284,3,13.8
"1461",30716,0,8.1438,17.097,6.0539,0.44927,5.1608,20.646,18.212,4.6166,-0.064409,3,2
"9156",99173,0,-421.2,253.14,2.9373,0.44924,2.6346,13.871,19.156,5.908,0.05687,6,-0.8
"298",19701,0,11.035,42.464,12.198,0.4492,12.26,55.97,88.401,9.141,-0.095072,4,6.8
"13795",138335,1.6884,-37.447,4.0713,2.292,0.44917,2.0239,7.4818,7.6461,0.3097,-0.08087,6,7.1
"6351",76574,4.8669,24.059,7.988,2.9878,0.44916,2.2035,10.294,6.7894,1.0231,-0.038423,3,19.1
"9588",102671,2.7563,41.983,9.7206,5.7001,0.44888,4.8136,16.069,26.583,1.2675,0.020419,6,40.7
"8231",91864,0,-5.0276,7.4378,2.4466,0.44877,2.4466,28.502,38.161,4.2459,-0.021692,5,-2.8
"9143",99094,0,-101.11,70.002,13.389,0.44871,13.544,334.97,178.83,10.226,0.040189,5,15.7
"5711",70534,1.3113,-0.4202,7.9405,3.1872,0.44861,2.8966,14.577,33.363,1.5501,-0.05226,5,21.5
"12923",130977,2.2631,49.883,10.635,4.9104,0.44833,4.3804,18.303,15.204,1.087,-0.07403,4,3.9
"5766",70799,0,-155.22,7.144,1.1581,0.44826,1.0795,14.615,14.633,1.2882,0.02139,6,-5.1
"20591",202923,0.6665,-40.964,12.389,3.2033,0.4481,3.1571,23.159,19.412,5.114,-0.074798,4,36.4
"15269",153837,1.0507,12.621,14.402,3.2959,0.44746,3.2023,32.63,19.517,5.4912,-0.079963,4,7.8
"19268",189348,0.5608,25.604,7.6258,4.2532,0.44725,4.1435,16.927,22.694,1.5462,-0.0095677,1,1.4
"15202",153206,1.4869,64.73,10.477,3.8241,0.44719,3.6122,21.882,14.341,0.9357,-0.065788,3,11
"1472",31105,0,30.807,20.178,6.986,0.44692,6.5471,25.927,16.218,4.5425,0.035093,2,21.9
"6057",74642,1.6733,-24.066,8.4867,2.3835,0.44665,1.9817,13.646,8.4359,0.4582,0.044191,3,16.2
"5835",71288,2.1038,30.207,9.0292,2.2875,0.44663,1.7624,16.859,23.681,3.3675,0.010301,3,8.2
"7459",85836,4.4006,92.323,11.445,4.7403,0.44654,3.9619,22.985,12.419,1.0677,-0.016898,1,28.7
"2440",38685,0,5.3722,9.2114,3.2564,0.44642,2.5401,12.56,17.969,1.717,0.030644,4,-0.2
"9639",103196,0.8073,-29.139,8.5677,1.8177,0.4464,1.7073,17.937,10.193,1.1966,-0.040936,3,51.8
"6204",75635,1.2839,-9.7046,9.8982,3.1787,0.44629,2.8977,20.834,36.582,1.7195,0.016053,6,5.3
"5742",70709,4.7249,-20.173,13.052,4.2398,0.44624,3.4701,16.624,9.1935,0.7222,0.012954,6,856.5
"295",19698,0,11.035,42.619,12.24,0.44615,12.303,56.164,88.707,9.1727,-0.082955,1,6.8
"15459",155131,2.3393,18.359,4.7956,3.382,0.44605,2.8834,10.697,16.619,0.4014,-0.0045714,2,20
"19269",189349,0.5768,25.604,7.4099,4.1358,0.44584,4.0291,16.46,22.068,1.5036,-0.014935,2,1.4
"16751",166635,0.6775,-44.3,7.0265,2.3448,0.44563,2.2724,18.973,12.739,0.9345,-0.0045689,4,9.1
"8016",90485,0,17.723,6.6001,15.315,0.44557,14.666,10.574,10.57,0.3598,-0.17778,6,16.6
"6841",80964,0.1343,-67.665,11.243,1.8756,0.44531,1.8029,52.902,22.995,0.9364,0.010313,1,7.1
"15866",159564,0.9224,7.3276,15.419,3.6283,0.44531,3.5477,33.359,23.983,6.0518,-0.02958,1,10.6
"9827",104800,0,-101.11,90.675,15.203,0.44511,15.205,591.58,287.86,11.328,-0.12425,5,2.9
"10019",105952,0.544,-51.502,16.85,5.2064,0.44504,4.2718,20.673,12.719,2.9234,0.046667,5,6
"16749",166633,0.6869,-44.3,6.9265,2.3128,0.44504,2.2414,18.714,12.565,0.9218,0.0053977,2,9.1
"8917",96954,0.6641,4.698,10.071,2.0372,0.44502,1.651,15.444,19.677,2.1191,-0.017283,1,9.6
"17311",171821,0.6633,154.68,6.1059,2.5878,0.44483,2.4997,10.494,11.816,0.7824,-0.0042476,6,0.7
"13498",136532,1.5611,22.353,7.3955,5.3099,0.44479,4.742,14.956,11.157,0.9978,-0.023787,3,-2.7
"1473",31106,0,30.807,21.048,7.2574,0.44473,6.8014,26.934,16.848,4.719,0.045623,3,21.9
"3371",47656,0,120.61,13.737,4.6282,0.4446,4.6449,28.096,7.9432,1.4815,-0.15554,5,3.4
"1445",30220,0,71.2,10.233,2.1904,0.44447,1.9893,21.232,196.89,2.4843,-0.075447,5,26.6
"10294",108111,0,5.3663,10.99,13.175,0.44444,12.877,21.177,16.354,2.0556,0.10429,4,400
"7674",87833,0,12.511,19.816,5.8667,0.4441,5.8649,28.57,37.225,4.6079,-0.10393,6,9.3
"7323",85214,0,1152.9,7.8026,45.344,0.44404,43.503,53.275,11.662,0.3103,0.06997,3,-2.1
"6097",74988,1.6857,34.286,6.6894,3.1107,0.44402,2.5117,11.082,7.6829,0.2884,0.084636,1,21.8
"6682",80115,1.9407,9.1537,8.5284,2.3784,0.44399,2.035,15.407,20.448,1.9633,-0.029498,4,12.1
"16750",166634,0.6769,-44.3,7.0326,2.3467,0.44372,2.2743,18.989,12.75,0.9353,0.0099666,3,9.1
"6716",80227,1.1828,4.9065,11.249,3.3737,0.44369,3.0876,25.86,36.979,1.8897,-0.052783,2,11.1
"7673",87832,0,12.511,20.513,6.0537,0.44279,6.0519,29.481,38.412,4.7547,-0.10556,5,9.3
"7095",83390,1.4153,-37.002,10.09,1.1529,0.44259,1.0596,24.775,6.6566,0.7125,0.12284,3,2
"2161",36846,0,116.55,18.385,7.2466,0.44236,6.5721,26.609,19.553,3.937,0.03545,1,10.3
"16163",161019,0,-113.12,33.042,1.9376,0.44227,1.9774,188.97,167.93,4.0708,-0.34211,4,23.1
"12925",130979,2.2603,49.883,10.647,4.9165,0.44224,4.3858,18.326,15.223,1.0883,-0.066278,6,3.9
"6619",79092,1.8691,17.4,5.1348,3.0331,0.44181,2.5142,11.324,7.902,0.8886,-0.0049281,1,0
"6843",80966,0.1422,-67.665,10.663,1.7724,0.4418,1.7022,49.946,21.71,0.8841,0.00073608,3,7.1
"6719",80230,1.1423,4.9065,11.632,3.494,0.44174,3.197,26.777,38.29,1.9567,-0.10493,5,11.1
"15458",155130,2.3353,18.359,4.8055,3.3878,0.44171,2.8883,10.715,16.647,0.4021,-0.013701,1,20
"15567",156505,1.1645,-443.82,176.98,13.479,0.44162,12.849,34.696,32.566,3.8518,-0.01796,2,6
"14915",149667,0,8.4254,21.074,7.17,0.44134,7.1813,57.171,23.267,5.497,-0.0054321,4,-9.1
"5741",70708,4.5366,-20.173,13.509,4.4159,0.4412,3.6141,17.314,9.5752,0.7521,0.0063372,5,856.5
"7672",87831,0,12.511,20.546,6.0626,0.44116,6.0608,29.524,38.468,4.7617,-0.099423,4,9.3
"6583",78648,1.5757,85.584,7.9114,2.4995,0.44052,2.0631,12.767,7.6998,0.4892,0.011454,1,6.1
"17308",171818,0.6506,154.68,6.2053,2.6382,0.44049,2.5484,10.699,12.046,0.7976,-0.010086,3,0.7
"15566",156504,1.1547,-443.82,178.53,13.593,0.44047,12.957,34.99,32.841,3.8844,-0.015197,1,6
"6745",80496,0,2638.8,23.843,2.5399,0.44043,2.4485,35.243,26.475,4.3074,-0.012186,1,14.3
"12920",130974,2.3277,49.883,10.364,4.7741,0.44041,4.2589,17.796,14.782,1.0568,-0.035793,1,3.9
"16839",167395,0,26.152,12.908,2.868,0.44035,2.8557,127.66,16.529,1.2279,-0.096006,2,150
"9057",98162,0.6149,2.1004,7.9313,3.2662,0.44033,2.9071,12.189,10.608,2.384,-0.045484,3,1.4
"13570",137228,0,31.035,15.69,3.31,0.44033,1.3931,11.199,11.242,2.0616,-0.032473,3,0.7
"16842",167398,0,26.152,12.974,2.9008,0.44024,2.8884,129.12,16.718,1.242,-0.13771,5,150
"5914",72387,0.9448,50.934,9.4779,2.3546,0.43981,2.0496,19.812,64.403,3.1075,-0.12,4,43.4
"22666",224408,0.2708,-38.737,10.51,1.7708,0.43981,1.7654,36.352,17.702,2.5507,0.033067,3,3.9
"6924",81749,2.8219,140.38,13.555,1.8769,0.43979,1.4958,22.553,63.447,0.4714,0.055203,6,43.8
"3369",47654,0,120.61,14.463,4.8357,0.43978,4.8532,29.356,8.2993,1.5479,-0.16104,3,3.4
"6250",75933,4.77,-53.791,13.419,3.8155,0.43973,3.1468,22.015,6.7412,0.8348,0.052104,4,44.9
"19452",191662,0,-224.49,23.777,3.1339,0.43957,3.0763,46.783,70.258,0.3178,0.003193,5,-3
"16389",163399,5.8435,3.8482,5.5057,2.0509,0.43955,0.8496,3.9202,2.8186,0.2129,-0.011545,2,6.6
"428",21271,0,748.53,21.596,5.1899,0.43921,3.5229,19.014,17.444,2.8765,-0.086901,2,29.1
"5797",71226,0.8994,-21.709,8.4339,4.7765,0.4391,4.4818,15.466,126.28,1.7885,0.040721,1,-27.1
"17310",171820,0.6566,154.68,6.1576,2.6141,0.43905,2.525,10.601,11.935,0.7903,0,5,0.7
"20589",202921,0.6307,-40.964,13.067,3.3754,0.43902,3.3366,24.475,20.516,5.4048,-0.030493,2,36.4
"7151",84310,1.0973,-76.773,6.3079,1.9054,0.439,1.6235,11.275,6.0579,0.3221,0.10586,5,20
"9142",99093,0,-101.11,68.829,13.177,0.43897,13.33,329.67,176,10.064,0.039889,4,15.7
"16752",166636,0.673,-44.3,7.015,2.3411,0.43861,2.2875,19.099,12.824,0.9407,-0.0037359,5,9.1
"7701",88142,1.4082,183.57,8.8345,1.1386,0.43824,1.0506,18.503,6.1103,0.7005,-0.015027,3,17.9
"6083",74848,3.6087,41.881,7.3801,2.08,0.4382,1.5046,13.546,12.177,0.7864,-0.050208,5,0.5
"2731",41838,0,-21.427,14.684,5.1948,0.43796,5.1951,32.258,8.2138,1.6023,-0.019604,1,3.4
"19453",191663,0,-224.49,23.519,3.1019,0.43793,3.0449,46.305,69.54,0.3146,0.0079933,6,-3
"7700",88141,1.3927,183.57,8.8975,1.1512,0.43778,1.0623,18.708,6.1779,0.7083,-0.022223,2,17.9
"6175",75564,1.4532,2.3958,12.584,4.133,0.43762,3.6128,21.514,25.465,3.0503,0.044943,1,4.9
"19270",189350,0.5823,25.604,7.3379,4.0967,0.43762,3.991,16.304,21.859,1.4894,0.013068,3,1.4
"15867",159565,0.9213,7.3276,15.438,3.6324,0.4373,3.5517,33.397,24.01,6.0586,-0.028426,2,10.6
"8187",91562,0,68.758,9.4345,1.8254,0.43713,1.7688,17.506,13.251,4.4285,0,3,69.8
"14448",145132,2.0088,-33.018,3.8585,1.1815,0.4371,1.0411,5.7058,10.202,0.1393,-0.019796,5,18.7
"2438",38683,0,5.3722,8.6508,3.0663,0.43688,2.3919,11.827,16.92,1.6168,0.053226,2,-0.2
"22949",227943,1.2583,30.369,13.036,4.7747,0.43685,4.7484,18.285,15.685,3.2354,-0.058339,4,0.9
"10177",106872,0,25.147,15.748,4.7334,0.4368,3.6671,22.574,36.973,3.051,-0.023541,1,1.1
"13569",137227,0,31.035,15.956,3.3619,0.43641,1.415,11.375,11.419,2.094,-0.031713,2,0.7
"9058",98163,0.6197,2.1004,7.8691,3.2405,0.43626,2.8842,12.093,10.524,2.3653,-0.0042231,4,1.4
"15266",153834,1.0566,12.621,14.313,3.2777,0.43613,3.1846,32.45,19.409,5.4609,-0.046343,1,7.8
"10296",108113,0,5.3663,11.375,13.813,0.43609,13.502,22.203,17.147,2.1553,0.14695,6,400
"6612",78965,0,-2.0529,10.896,2.133,0.43589,2.1316,22.638,14.733,1.3045,-0.096292,6,9.3
"17731",176153,5.6567,-19.978,6.6366,2.4937,0.43588,1.0413,4.855,3.4924,0.2691,-0.075536,6,0.6
"10309",108330,1.0005,67.963,7.6306,1.7997,0.4357,1.678,14.586,9.3513,1.1811,0.036657,1,26.6
