"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"7669",87828,0,12.511,20.545,6.0625,0.49753,6.0905,29.669,38.657,4.785,-0.093829,1,9.3
"6880",81207,2.7098,-63.235,14.868,1.3815,0.49694,0.7726,8.7443,2.3076,0.3613,-0.062212,4,39.5
"5918",72403,0,-64.927,9.072,1.6346,0.49692,1.6358,17.1,9.3262,1.0094,-0.029803,2,19
"7155",84332,0,16.609,11.057,3.1343,0.49669,2.8861,30.756,16.844,0.6687,-0.034195,3,14.7
"1284",28601,0,9.2105,24.31,8.7859,0.49659,8.0069,33.637,25.651,4.6693,-0.00081253,6,28.9
"7324",85215,0,1152.9,7.7995,45.304,0.49651,43.465,53.228,11.651,0.31,0.022186,4,-2.1
"8831",96220,0,-48.117,23.594,5.321,0.49646,4.3908,33.98,13.77,3.325,-0.10632,5,0.8
"6638",79615,2.9189,50.616,7.3507,2.4667,0.49615,1.7956,13.544,10.375,0.958,-0.090965,2,0
"17335",171983,0,29.302,32.438,10.296,0.49614,10.197,77.287,56.719,18.157,-0.078057,6,30.4
"14442",145096,1.7672,-2.1169,3.967,2.2493,0.49607,2.0045,7.3612,4.9442,0.3048,0.025117,5,0
"22393",222233,1.3428,40.235,14.435,4.7506,0.49561,4.7225,21.791,17.274,3.3933,-0.090217,6,4.8
"1342",28995,0.861,158.13,6.4816,3.0639,0.49549,2.6464,8.6542,12.773,1.1808,0.12316,4,-12.2
"16212",161494,0,4.2809,26.691,11.039,0.49494,10.578,38.141,41.114,10.701,-0.027273,5,8.5
"499",22392,0,-62.293,20.67,3.3315,0.49485,2.8215,64.732,28.142,1.8035,-0.0097161,1,-69.5
"17293",171713,0.5888,20.227,8.2086,1.4055,0.49445,1.3413,25.578,182.34,1.2641,-0.01639,6,3.9
"6893",81262,3.6296,296.88,13.701,4.8863,0.49428,4.0618,27.936,9.5357,1.1442,0.010032,5,28.2
"6921",81746,2.3962,140.38,14.863,2.2046,0.4942,1.7615,26.559,74.719,0.5551,-0.025275,3,43.8
"14438",145092,1.959,-2.1169,3.5652,2.0292,0.4938,1.8084,6.6408,4.4604,0.275,0.049145,1,0
"9139",99090,0,-101.11,74.989,14.291,0.49367,14.456,357.53,190.88,10.915,-0.007123,1,15.7
"15444",155116,0.5967,-9.9307,6.2335,1.7108,0.49363,1.665,18.87,11.646,0.6903,-0.043874,5,1.2
"9645",103274,0,-0.5646,17.913,4.6128,0.49274,3.5797,27.899,131.43,3.0037,0.10166,3,-15.9
"6784",80631,0.4899,-8.5306,4.4082,4.5773,0.49272,3.6848,7.3766,5.0074,1.5407,0.0049524,4,6.5
"8814",96185,3.0794,8.7616,10.741,5.8398,0.49227,4.9448,18.757,21.905,1.2434,-0.033212,6,14.5
"16436",164106,0,-19.604,17.211,7.0254,0.49227,7.0195,26.179,27.369,3.0806,-0.094321,1,3.7
"1761",32858,0,24.91,32.668,3.3826,0.49225,3.2765,51.581,28.064,6.7725,0.065478,3,-0.9
"15442",155114,0.5988,-9.9307,6.2989,1.728,0.49216,1.6592,18.805,11.606,0.6879,-0.042045,3,1.2
"17291",171711,0.58,20.227,8.298,1.4271,0.49205,1.3619,25.97,185.14,1.2835,-0.028591,4,3.9
"15441",155113,0.6009,-9.9307,6.2761,1.722,0.49192,1.6534,18.739,11.565,0.6855,-0.04631,2,1.2
"14681",148185,0.0777,14.797,10.647,0.8307,0.49173,0.8174,9.8858,3.0018,1.7022,-0.037001,4,6.3
"17292",171712,0.5796,20.227,8.3021,1.4281,0.49172,1.3629,25.988,185.26,1.2844,-0.015691,5,3.9
"15445",155117,0.5882,-9.9307,6.3276,1.7356,0.49166,1.6891,19.145,11.815,0.7003,-0.049359,6,1.2
"6879",81206,2.7391,-63.235,14.769,1.3668,0.4916,0.7643,8.6508,2.2829,0.3575,-0.034452,3,39.5
"14750",148482,0.7684,13.456,21.445,0.8772,0.49135,0.8269,14.509,2.003,1.4529,-0.043709,1,4.2
"6549",78416,2.2531,257.94,6.084,1.3948,0.49131,1.3154,25.123,6.4819,0.3524,-0.063557,3,2.6
"1778",33031,3.0135,-20.263,7.8556,3.2,0.49124,2.5009,8.8255,6.2362,1.9737,-0.015115,2,10.3
"7273",85014,0,30.12,3.3915,1.1219,0.49102,1.122,6.9733,3.6263,1.0205,-0.059197,1,7.7
"7231",84654,0,29.511,38.283,9.4341,0.49045,9.4428,144.65,39.967,7.5994,0.031495,1,-1.3
"12980",131238,2.474,-3.9062,8.4517,2.9096,0.49031,2.3611,16.803,12.466,1.0421,-0.062409,1,1
"17765",176613,0,-1.3111,7.3053,3.3129,0.49011,3.3197,10.8,12.559,2.1713,-0.063315,4,1.2
"18673",183737,0,3.0488,7.7212,1.9616,0.48993,2.083,19.693,86.124,0.861,-0.070387,6,8.8
"15443",155115,0.5998,-9.9307,6.2875,1.725,0.48931,1.6563,18.772,11.585,0.6867,-0.045702,4,1.2
"17764",176612,0,-1.3111,7.4621,3.3881,0.48928,3.395,11.045,12.844,2.2206,-0.070764,3,1.2
"14683",148187,0.0769,14.797,10.697,0.8391,0.48924,0.8257,9.9859,3.0322,1.7195,-0.043103,6,6.3
"8274",92519,0.7216,6.725,7.8196,2.8023,0.48922,2.4847,11.963,12.999,2.0762,-0.098729,6,-16.1
"7617",87074,0,10.268,6.4746,1.9221,0.48904,1.9221,26.752,22.187,4.1463,-0.054138,3,6.7
"10097",106354,0.6796,16.256,9.8665,1.9692,0.48902,1.5948,15.008,14.734,2.066,0.029158,5,13.1
"13501",136535,1.5295,22.353,7.5529,5.4195,0.48889,4.8398,15.264,11.387,1.0184,-0.055605,6,-2.7
"21789",216289,1.0146,-2.7778,19.612,5.4753,0.48883,5.3308,27.312,20.049,4.3777,-0.13644,2,13
"1243",28368,5.0074,100.85,8.232,2.554,0.48878,1.9938,7.3887,5.1855,1.68,0.0094737,1,-2.9
"16101",160663,0,53.94,38.942,10.313,0.48854,10.302,102.57,53.018,19.279,-0.10773,2,14.8
"6637",79614,2.9236,50.616,7.3365,2.4627,0.48845,1.7927,13.522,10.359,0.9565,-0.061231,1,0
"14868",149158,2.0871,-18.94,4.6313,3.4674,0.48832,2.9526,10.198,16.147,0.3924,-0.0082633,5,22
"10292",108109,0,5.3663,12.386,15.49,0.48792,15.141,24.899,19.229,2.4169,0.018957,2,400
"14867",149157,2.0748,-18.94,4.6855,3.501,0.48775,2.9701,10.259,16.243,0.3947,-0.0082633,4,22
"5836",71289,2.1703,30.207,8.7577,2.2174,0.48768,1.7084,16.342,22.955,3.2644,0.015452,4,8.2
"7619",87076,0,10.268,6.4851,1.9257,0.48749,1.9257,26.801,22.227,4.1539,-0.11079,5,6.7
"16211",161493,0,4.2809,26.432,10.928,0.48749,10.472,37.758,40.702,10.594,0.0010151,4,8.5
"7157",84334,0,16.609,10.951,3.1035,0.4874,2.8578,30.455,16.679,0.6622,-0.025331,5,14.7
"6810",80729,0.4152,-3.6302,11.546,5.5844,0.48725,5.0888,21.16,14.523,1.7842,-0.038005,6,16
"6684",80117,1.8955,9.1537,8.6811,2.435,0.48717,2.0835,15.774,20.934,2.01,-0.044059,6,12.1
"6863",81112,1.6713,30.281,15.969,4.2477,0.48708,3.8411,26.53,7.4858,1.8487,-0.0019581,5,16.4
"6864",81113,1.7249,30.281,15.712,4.1156,0.48701,3.7217,25.705,7.253,1.7913,-0.03501,6,16.4
"5713",70578,0,39.97,11.612,5.6525,0.48699,5.1264,19.53,17.855,3.7523,-0.009625,1,26.8
"6367",76824,1.7358,-32.63,11.572,1.5424,0.48687,1.2063,16.338,12.457,0.9503,-0.018354,1,25
"7620",87077,0,10.268,6.4309,1.9074,0.48665,1.9074,26.547,22.017,4.1145,-0.11271,6,6.7
"9151",99168,0,-421.2,247.3,2.8763,0.48662,2.8091,14.79,20.425,6.2991,0.043598,1,-0.8
"6878",81205,2.8126,-63.235,14.53,1.331,0.48643,0.7443,8.4248,2.2232,0.3481,-0.086139,2,39.5
"8986",97569,0.1841,46.22,13.218,4.0745,0.48629,3.7488,33.448,22.691,0.9964,-0.12058,4,10.9
"14751",148483,0.7681,13.456,21.445,0.8772,0.48628,0.8272,14.515,2.0037,1.4534,-0.039937,2,4.2
"13789",138239,1.7652,21.008,5.4695,1.3949,0.48614,1.1274,7.1881,11.754,0.1455,-0.17753,6,56.8
"14680",148184,0.0772,14.797,10.679,0.8361,0.48599,0.8227,9.95,3.0213,1.7133,-0.019288,3,6.3
"8830",96219,0,-48.117,23.571,5.3162,0.48562,4.387,33.95,13.758,3.3221,-0.073495,4,0.8
"6218",75739,1.2519,-13.043,23.188,1.8631,0.48554,1.5962,11.333,20.878,4.5904,-0.022439,2,3.8
"1344",28997,0.8507,158.13,6.862,3.2587,0.48522,2.6787,8.7597,12.929,1.1952,0.12215,6,-12.2
"6965",82132,0.4919,-27.121,14.01,2.8103,0.48512,2.4803,27.838,35.486,2.6081,0.20411,5,18
"14441",145095,1.7914,-2.1169,3.9115,2.2189,0.48512,1.9775,7.2618,4.8774,0.3007,0.052299,4,0
"15440",155112,0.5984,-9.9307,6.3028,1.729,0.48511,1.6601,18.816,11.612,0.6883,-0.037174,1,1.2
"18955",186557,0,-224.49,151.62,3.1708,0.48493,3.1199,267.34,181.92,0.311,-0.0015971,6,84.2
"22669",224411,0.2657,-38.737,10.665,1.8047,0.48489,1.7993,37.049,18.042,2.5996,-0.016124,6,3.9
"6881",81208,2.7894,-63.235,14.604,1.3421,0.48485,0.7505,8.4949,2.2418,0.351,-0.073696,5,39.5
"6415",77022,0,68.612,11.818,3.1901,0.48473,3.2055,40.016,14.334,1.7601,-0.006402,1,-6.4
