,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
94965,1.3705,-23.522,12.749,4.2547,-0.28435,3.9304,19.32,18.973,1.9848,0.011087,4
94966,1.3598,-23.522,12.860999999999999,4.2883,-0.29288000000000003,3.9615,19.472,19.123,2.0005,0.011652,5
94967,1.3605,-23.522,12.853,4.2859,-0.30806999999999995,3.9593,19.461,19.112000000000002,1.9994,0.028132,6
94986,1.9391,26.139,7.4403,2.3841,0.044808,2.0699,13.2,11.190999999999999,0.4532,-0.012071,1
94987,1.9157,26.139,7.5303,2.4132,0.019978,2.0952,13.360999999999999,11.327,0.4587,-0.019956,2
94988,1.9004,26.139,7.5903,2.4326,0.00029237,2.1121,13.469000000000001,11.419,0.4624,-0.023596000000000002,3
94989,1.8934,26.139,7.6183,2.4417,-0.0054711000000000004,2.1199,13.519,11.460999999999999,0.4641,-0.008078499999999999,4
94990,1.9235,26.139,7.5003,2.4035,-0.026043,2.0868,13.308,11.282,0.4569,0.0021765,5
94991,1.9433,26.139,7.4243,2.3789,-0.035838,2.0654,13.171,11.165999999999999,0.4522,0.010703,6
94998,0.0,-9.9307,2.437,0.9858,0.061425,0.9864,5.1838,2.9695,0.8321,0.0030807,1
94999,0.0,-9.9307,2.4304,0.9828,0.11469000000000001,0.9833,5.1678,2.9604,0.8295,-0.0085262,2
95000,0.0,-19.815,2.6216,1.0198,0.11237,1.0181,4.7061,2.9546,0.862,0.011179999999999999,3
95001,0.0,-19.815,2.5773,1.0,0.093168,0.9982,4.6144,2.8971,0.8452,0.027777999999999997,4
95002,0.0,-19.815,2.5413,0.9838,0.063337,0.9821,4.5399,2.8503,0.8316,0.0092994,5
95003,0.0,-19.815,2.5814,1.0018,0.081947,1.0001,4.623,2.9025,0.8468,0.0,6
95022,0.2987,60.419,13.032,3.3181,-0.15435,2.9168,21.729,29.064,3.5309,-0.0014405,1
95023,0.2982,60.419,13.052,3.3229,-0.15512,2.9210000000000003,21.76,29.105999999999998,3.536,0.0055396,2
95024,0.3003,60.419,12.955,3.2998,-0.15158,2.9008,21.609,28.904,3.5114,0.019385,3
95025,0.3045,60.419,12.765999999999998,3.255,-0.20501,2.8614,21.315,28.511,3.4637,0.06733099999999999,4
95026,0.3188,60.419,12.15,3.1088,-0.21475,2.7328,20.358,27.230999999999998,3.3081,0.066732,5
95027,0.3186,60.419,12.157,3.1105,-0.2206,2.7344,20.369,27.246,3.31,0.073188,6
95070,3.6431,5.1015,4.7712,2.4039,-0.042682,1.9280000000000002,8.2596,8.3611,2.2023,0.011991,1
95071,3.6868,5.1015,4.7026,2.3754,-0.036333,1.9051,8.1617,8.262,2.1762,0.029602999999999997,2
95072,3.7510000000000003,5.1015,4.6049,2.3348,-0.037787,1.8726,8.0221,8.1207,2.1390000000000002,0.031094999999999998,3
95073,3.7564,5.1015,4.5968,2.3314,-0.021859,1.8698,8.0105,8.1089,2.1359,0.025633999999999997,4
95074,3.7365,5.1015,4.6266,2.3438,-0.017648,1.8798,8.0532,8.1521,2.1473,0.017307,5
95075,3.7062,5.1015,4.6728,2.363,-0.050217000000000005,1.8952,8.1191,8.2188,2.1648,0.0072107,6
