"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"5394",66719,1.7359,-34.359,8.8012,3.5635,0.85423,3.1123,13.152,20.401,2.2574,0.058835,6
"12839",129028,24.104,28.459,5.1211,0.8342,0.85396,0.552,9.585,3.5234,0.4631,0.010912,5
"3675",51014,8.2776,-23.296,6.6847,1.8968,0.85379,1.3277,7.033,5.707,0.8205,-0.11085,3
"4017",54104,4.5869,30.788,7.294,0.6032,0.85301,0.3262,6.2408,2.2907,0.5565,0.087347,3
"12303",124886,25.627,-9.5458,5.2659,0.9118,0.84956,0.5884,11.465,4.2565,0.4954,-0.037105,3
"18249",179498,2.2537,101.61,16.401,5.352,0.8491,5.0944,11.999,8.9317,0.5038,-0.045299,3
"4013",53794,1.4107,10394,2.8533,0.6989,0.84719,0.6432,3.1101,4.4692,0.8249,0.20273,5
"3466",48549,7.1574,12.388,5.8966,0.5289,0.84693,0.4361,6.9517,5.3528,0.6859,-0.028207,4
"12014",121951,0,-64.178,11.53,1.5118,0.84693,1.4548,30.126,18.827,2.3812,-0.036309,2
"3571",50298,3.1594,763.33,5.7577,0.8665,0.84581,0.7105,7.3818,4.6654,0.2737,-0.06374,1
"11351",116374,0,-26.817,11.333,8.4866,0.8456,8.4924,21.354,19.417,1.6254,-0.02158,5
"21361",209532,10.511,-12.077,9.794,0.9385,0.84556,0.8215,62.799,9.7799,0.7681,0.015746,1
"4823",61666,6.4165,-5.9265,5.2696,2.5054,0.8451,1.7528,7.1189,4.5995,1.1027,-0.030459,5
"21181",207270,6.1228,-797.44,37.62,0.7034,0.84493,0.6893,10.934,12.903,0.7929,-0.041264,1
"11350",116373,0,-26.817,11.968,8.9104,0.84486,8.9164,22.42,20.387,1.7066,-0.05953,4
"19007",186274,3.1272,-8.4647,4.7737,0.5106,0.84237,0.4953,7.8127,19.357,1.1535,0.052443,5
"3574",50301,3.3848,763.33,5.5721,0.8088,0.84062,0.6632,6.8902,4.3547,0.2554,0.029981,4
"4121",55354,3.3008,5.63,3.4664,2.0232,0.83881,1.6567,7.4081,5.1973,0.4881,-0.087704,5
"21267",208256,1.8315,186.36,7.5376,2.9355,0.83866,2.8824,16.92,51.799,0.6474,-0.004795,3
"12017",121954,0,-64.178,12.341,1.5866,0.83803,1.5268,31.617,19.759,2.4991,-0.032149,5
"22046",217309,4.14,15.196,19.519,1.449,0.83725,1.4221,26.376,36.082,3.4715,0.043268,2
"5554",69219,8.5826,125.3,7.0554,0.6465,0.83592,0.5843,12.412,14.034,0.3832,0.10751,4
"3468",48551,6.7492,12.388,6.1292,0.5611,0.83513,0.4625,7.3721,5.6765,0.7274,-0.02428,6
"12304",124887,25.5,-9.5458,5.2746,0.9163,0.83383,0.5913,11.522,4.2777,0.4979,-0.033534,4
"5393",66718,1.7194,-34.359,8.8833,3.5975,0.83332,3.142,13.278,20.596,2.279,0.041276,5
"12589",126972,1.2507,17.4,4.791,1.9533,0.8332,1.8332,7.8921,105.25,0.9577,0.018538,1
"3961",53238,0,2305.3,5.4383,0.9524,0.83266,0.8542,5.6442,5.4257,0.7178,0.10553,1
"4792",61299,4.0349,-271.97,4.6127,0.8849,0.83236,0.8017,46.512,0.3845,0.4889,0.051173,4
"4328",56575,0,326.31,8.7649,1.3962,0.83089,1.339,32.343,12.733,2.1508,-0.0097518,2
"21362",209533,10.677,-12.077,9.7544,0.9239,0.83037,0.8088,61.824,9.6281,0.7562,-0.0066175,2
"20579",201604,4.8496,-46.575,6.0273,0.83,0.82862,0.7865,9.3149,17.381,0.862,-0.088025,5
"21363",209534,10.442,-12.077,9.811,0.9447,0.82827,0.827,63.217,9.8449,0.7732,0.02034,3
"4822",61665,6.3581,-5.9265,5.305,2.5284,0.82793,1.7689,7.1843,4.6417,1.1129,-0.0043726,4
"3814",51801,7.5406,5.2611,8.0588,3.086,0.82767,2.1776,6.0064,6.4785,1.8036,0.12838,4
"4821",61664,6.4193,-5.9265,5.2679,2.5043,0.82629,1.752,7.1158,4.5975,1.1022,-0.013436,3
"3464",48547,7.1073,12.388,5.9239,0.5327,0.82562,0.4392,7.0007,5.3905,0.6907,0.018708,2
"4041",54290,0,-1.8584,7.5118,2.9839,0.82485,2.5235,10.424,8.6069,2.218,0.03035,3
"4118",55351,3.7077,5.63,3.0155,1.8012,0.82397,1.4749,6.595,4.6269,0.4345,-0.058768,2
"11419",116724,0,-2.8031,10.913,1.6784,0.82344,1.6077,25.392,15.935,2.5783,-0.022894,1
"13225",132642,0,-0.1176,21.662,5.2587,0.81874,5.2598,58.791,278.48,1.0551,0.044598,1
"21182",207271,5.8702,-797.44,39.009,0.7337,0.81865,0.7189,11.404,13.459,0.827,-0.057468,2
"4824",61667,6.2484,-5.9265,5.3733,2.5728,0.81747,1.7999,7.3104,4.7232,1.1324,-0.021075,6
"12593",126976,1.327,17.4,4.5391,1.8409,0.8168,1.7278,7.4381,99.197,0.9026,0.068402,5
"12302",124885,26.147,-9.5458,5.2307,0.8936,0.81589,0.5767,11.236,4.1718,0.4856,-0.032338,2
"5013",63596,4.372,-52.974,8.1714,16.125,0.81518,12.937,9.8649,22.071,0.7612,0.1516,3
"4480",58209,2.9321,-168.82,10.627,1.7763,0.81416,1.4791,15.222,13.143,1.4927,0.064711,4
"3764",51469,2.7798,-10.444,4.7886,2.2896,0.8131,1.8481,7.4556,6.9166,1.4116,0.017287,2
"2459",38782,3.9141,-87.079,12.806,1.0041,0.8128,0.8918,9.77,3.0407,0.4736,-0.05185,5
"21268",208257,1.8308,186.36,7.5401,2.9365,0.81251,2.8834,16.926,51.817,0.6476,0.014666,4
"2557",40080,2.5789,545.5,5.8744,1.0821,0.81193,0.8502,8.3962,6.9113,0.3391,0.0056832,1
"12591",126974,1.2755,17.4,4.7056,1.9152,0.8116,1.7975,7.7382,103.2,0.939,0.046598,3
"21266",208255,1.8196,186.36,7.5854,2.9546,0.81136,2.9012,17.03,52.136,0.6516,-0.0044513,2
"4043",54292,0,-1.8584,7.564,3.0007,0.81092,2.5377,10.482,8.6553,2.2305,0.0010879,5
"12594",126977,1.3362,17.4,4.5107,1.8282,0.8108,1.7158,7.3868,98.513,0.8964,0.083072,6
"3778",51567,5.8964,-23.082,4.3937,2.6545,0.81044,2.0366,5.1934,9.0506,0.3974,-0.13008,4
"2598",40829,2.5669,38.64,5.607,3.4238,0.80957,2.2582,7.9589,14.33,1.0421,-0.18053,6
"12013",121950,0,-64.178,11.187,1.4802,0.80896,1.4244,29.497,18.434,2.3315,-0.020874,1
"12016",121953,0,-64.178,11.975,1.5529,0.80813,1.4943,30.945,19.339,2.4459,-0.067067,4
"3815",51802,8.0033,5.2611,7.6115,2.9076,0.80677,2.0516,5.6591,6.1039,1.6993,0.028834,5
"4018",54105,4.6468,30.788,7.2501,0.5954,0.8054,0.322,6.1604,2.2611,0.5493,0.13403,4
"3775",51564,6.003,-23.082,4.2956,2.5813,0.8039,2.0004,5.1011,8.8898,0.3904,0.040184,1
"4009",53790,1.0858,10394,3.3099,0.9081,0.80372,0.8356,4.0408,5.8065,1.0717,0.028254,1
"3046",45405,2.6863,-97.676,6.1435,1.0221,0.80369,0.8336,8.6302,5.1142,0.3232,-0.027095,4
"12853",129234,6.5138,80.28,12.359,4.7003,0.80349,4.2885,12.853,16.185,0.5567,0.0025909,1
"20577",201602,4.8984,-46.575,5.9751,0.8218,0.80305,0.7787,9.2223,17.208,0.8535,-0.077733,3
"21269",208258,1.8666,186.36,7.3991,2.8802,0.80283,2.8281,16.601,50.823,0.6352,0.0044948,5
"4551",58928,0,-72.609,7.3808,0.9126,0.80217,0.8809,3.7273,40.196,0.8923,-0.037348,3
"3766",51471,2.5999,-10.444,5.1513,2.448,0.80056,1.976,7.9715,7.3952,1.5093,-0.12624,4
"12840",129029,23.677,28.459,5.1501,0.8492,0.79937,0.562,9.7579,3.5869,0.4714,-0.0066761,6
"3674",51013,8.1373,-23.296,6.7901,1.9295,0.79875,1.3506,7.1542,5.8054,0.8346,-0.063544,2
"21270",208259,1.8479,186.36,7.4721,2.9093,0.79621,2.8567,16.769,51.338,0.6416,-0.030039,6
"4793",61300,4.1244,-271.97,4.5917,0.8657,0.79554,0.7843,45.503,0.3762,0.4783,0.041403,5
"5012",63595,4.2307,-52.974,8.4069,16.664,0.79538,13.368,10.194,22.808,0.7866,0.10808,2
"4791",61298,3.8687,-271.97,4.6542,0.9229,0.79464,0.8361,48.511,0.4011,0.5099,0.02837,3
"18247",179496,2.301,101.61,16.156,5.242,0.79454,4.9897,11.753,8.7481,0.4935,-0.016167,1
"22047",217310,4.2837,15.196,19.173,1.4004,0.79287,1.3744,25.491,34.871,3.355,0.049757,3
"3958",53151,1.3753,-12.978,3.0514,1.8266,0.79226,1.4938,4.4213,4.8607,0.6496,-0.052491,4
"13226",132643,0,-0.1176,20.563,5.0341,0.79191,5.0351,56.279,266.59,1.01,0.0076899,2
"5160",65477,3.1422,10.536,5.8453,1.5402,0.78951,1.3009,8.6706,10.525,1.101,-0.075076,6
"3668",51007,20.154,-42.222,6.4279,0.9396,0.78942,0.7634,9.0214,11.751,0.7687,-0.19816,2
"12301",124884,26.483,-9.5458,5.2088,0.8823,0.78937,0.5693,11.094,4.1189,0.4794,-0.012669,1
"12592",126975,1.3089,17.4,4.5961,1.8663,0.7883,1.7516,7.5407,100.57,0.915,0.061034,4
"5014",63597,4.5436,-52.974,7.9048,15.516,0.78671,12.448,9.4921,21.237,0.7324,0.17521,4
"12924",130229,0,-175.49,4.384,0.6915,0.78653,0.682,44.968,5.6275,0.0421,-0.022492,6
"4550",58927,0,-72.609,7.2696,0.8892,0.78437,0.8584,3.6317,39.166,0.8694,-0.074362,2
"3844",52041,9.3779,-33.255,5.8618,1.1586,0.78431,0.8652,5.3738,12.456,0.2757,-0.088999,4
"3881",52306,0,25.869,8.3526,1.5788,0.78278,1.4695,15.444,11.474,2.458,0.16984,5
"4253",56308,2.2628,10.762,3.7051,2.0525,0.78272,1.8432,4.2564,16.66,0.7686,0.04765,5
"3047",45406,2.5929,-97.676,6.2579,1.059,0.78217,0.8636,8.9411,5.2985,0.3348,-0.05201,5
"4470",57701,0,-46.321,6.0933,2.0879,0.78186,2.0923,6.9836,11.578,0.7825,-0.024096,6
"3158",46243,15.678,66.667,7.1539,1.0665,0.78144,0.849,9.0202,10.958,0.856,-0.034139,2
"12590",126973,1.2738,17.4,4.7113,1.9177,0.78123,1.7998,7.7485,103.34,0.9402,0.019888,2
"3735",51386,1.3935,8.0947,9.0063,4.4937,0.77929,3.8584,12.32,18.761,2.5876,-0.18841,3
"21183",207272,5.771,-797.44,39.588,0.7463,0.77824,0.7313,11.6,13.69,0.8412,-0.012558,3
"12855",129236,6.2398,80.28,12.764,4.9067,0.77754,4.4767,13.418,16.895,0.5812,-0.012743,3
"13746",137849,5.0844,-242.69,49.959,8.1084,0.77637,6.8994,3334.9,12.642,1.6777,0.018541,6
"13227",132644,0,-0.1176,21.465,5.2184,0.77628,5.2195,58.34,276.35,1.047,-0.0093983,3
"12015",121952,0,-64.178,11.792,1.536,0.77521,1.4781,30.608,19.128,2.4194,-0.046786,3
"5158",65475,3.3403,10.536,5.6209,1.4489,0.77493,1.2238,8.1564,9.9006,1.0357,-0.015671,4
"4331",56578,0,326.31,8.4571,1.358,0.77394,1.3023,31.457,12.384,2.0919,-0.036238,5
"3734",51385,1.7078,8.0947,7.3955,3.6666,0.77258,3.1483,10.052,15.308,2.1114,-0.20204,2
"2559",40082,2.5904,545.5,5.8603,1.0773,0.77237,0.8464,8.3589,6.8806,0.3376,-0.0068202,3
"4575",59162,2.525,33.449,6.485,1.6409,0.77199,1.3479,8.5556,20.576,0.2905,-0.034307,3
"4097",55240,2.0338,-28.934,6.7997,2.0167,0.77154,1.6354,8.9398,54.342,0.3577,-0.095563,5
"12559",126810,4.0457,-169.08,16.152,6.0816,0.77056,5.0041,24.833,8.5161,1.7294,0.024868,1
"2562",40085,2.5159,545.5,5.9537,1.1092,0.77045,0.8715,8.6064,7.0844,0.3476,0.027386,6
"4040",54289,0,-1.8584,7.2143,2.8882,0.77006,2.4426,10.089,8.3308,2.1469,0.031512,2
"19003",186270,2.9931,-8.4647,4.8701,0.5334,0.7697,0.5175,8.1626,20.224,1.2051,-0.048506,1
"2041",36078,6.0051,73.329,8.4796,0.6338,0.76958,0.5632,5.0718,2.384,0.2777,-0.074835,1
"5244",65867,1.3023,124.4,7.2112,5.5382,0.76857,4.4407,16.502,91.17,1.164,0.22213,6
"14510",145153,1.1994,660,5.6034,0.7218,0.76721,0.6933,64.039,8.2355,0.1283,-0.0045378,2
"4549",58926,0,-72.609,7.0583,0.8447,0.76701,0.8154,3.4501,37.207,0.826,-0.050019,1
"14509",145152,1.1871,660,5.6287,0.7293,0.76684,0.7005,64.703,8.3209,0.1297,0.010369,1
"21364",209535,10.726,-12.077,9.7431,0.9198,0.76631,0.8051,61.546,9.5847,0.7527,0.061176,4
"20578",201603,4.877,-46.575,5.9979,0.8254,0.76601,0.7821,9.2626,17.283,0.8572,-0.082908,4
"4241",56278,4.0008,-1.4368,6.6116,1.0851,0.76526,0.5891,7.202,5.1045,0.2134,-0.041664,5
"3779",51568,5.2222,-23.082,4.8531,2.9972,0.76506,2.2995,5.8639,10.219,0.4488,-0.16507,5
"4016",54103,4.6375,30.788,7.2569,0.5966,0.76477,0.3226,6.1728,2.2657,0.5504,0.073335,2
"21409",210774,5.1975,-46.541,5.7993,1.1817,0.76439,1.1093,9.4628,9.9768,0.291,0.01753,1
"3812",51799,6.8571,5.2611,8.8298,3.3936,0.76438,2.3946,6.6052,7.1243,1.9834,0.051577,2
"4020",54107,4.5824,30.788,7.2974,0.6038,0.76429,0.3265,6.247,2.2929,0.557,0.22928,6
"10428",109631,0.9082,-33.303,5.64,1.8006,0.76401,1.5206,10.221,8.1875,1.6898,-0.11213,6
"4417",57396,5.1312,15.108,6.3069,12.216,0.76393,9.848,7.6053,18.078,0.6218,-0.054277,1
"3843",52040,8.8081,-33.255,6.1175,1.2336,0.76349,0.9211,5.7214,13.262,0.2935,-0.077211,3
"4122",55355,3.6709,5.63,3.0522,1.8193,0.76344,1.4897,6.6613,4.6734,0.4389,-0.1675,6
"19800",194237,1.7201,-142.19,8.4842,2.2421,0.76073,2.1841,12.332,40.132,1.1191,-0.031954,6
"19008",186275,3.1501,-8.4647,4.7581,0.5069,0.75909,0.4917,7.7559,19.216,1.1451,-0.036832,6
"2597",40828,2.5874,38.64,5.5556,3.3967,0.75877,2.2403,7.8959,14.216,1.0338,-0.1958,5
"4577",59164,2.561,33.449,6.4536,1.6267,0.75795,1.329,8.4353,20.287,0.2864,-0.049721,5
"2561",40084,2.6052,545.5,5.8424,1.0712,0.7575,0.8416,8.3114,6.8415,0.3357,-0.02443,5
"5389",66714,1.667,-34.359,9.1561,3.7106,0.75696,3.2408,13.695,21.243,2.3506,0.044665,1
"4019",54106,4.8463,30.788,7.1117,0.5709,0.75676,0.3087,5.9068,2.1681,0.5267,0.072273,5
"4790",61297,4.1121,-271.97,4.5945,0.8683,0.75549,0.7866,45.639,0.3773,0.4797,-0.014002,2
"12854",129235,6.5306,80.28,12.335,4.6882,0.75536,4.2774,12.82,16.143,0.5553,-0.042051,2
"2560",40083,2.5613,545.5,5.8962,1.0896,0.75515,0.856,8.4538,6.9588,0.3414,0.010199,4
"3811",51798,7.0927,5.2611,8.5472,3.2809,0.7542,2.3151,6.3857,6.8876,1.9175,-0.03323,1
"3572",50299,2.958,763.33,5.9475,0.9255,0.7541,0.7589,7.8844,4.983,0.2923,-0.02219,2
"4224",56177,3.0018,-1.0002,6.4633,5.1137,0.75389,4.1226,8.4804,8.7424,2.3556,-0.0046218,6
"2042",36079,5.5557,73.329,8.7943,0.685,0.75264,0.6087,5.4821,2.5769,0.3001,-0.08685,2
"17621",173938,1.9232,-125.22,25.677,6.0675,0.75245,5.7516,15.44,19.381,0.5784,-0.034915,5
"14511",145154,1.1817,660,5.64,0.7326,0.75178,0.7037,64.998,8.3588,0.1302,0.028139,3
"16437",162848,3.0299,-92.545,6.0281,0.5903,0.75159,0.568,5.2478,11.008,0.5287,0.056191,3
"3831",51854,6.3345,5.2351,2.7013,0.8593,0.75064,0.4612,2.3115,3.7084,0.1911,0.038892,3
"2043",36080,5.4836,73.329,8.8497,0.6941,0.74922,0.6168,5.5542,2.6108,0.3041,-0.10997,3
"21761",214168,0,-75.088,11.069,2.1489,0.74883,2.1518,16.056,15.159,2.2621,-0.051311,5
"4221",56174,3.0186,-1.0002,6.4232,5.0853,0.74878,4.0997,8.4334,8.6939,2.3425,0.0072733,3
"4239",56276,4.2278,-1.4368,6.439,1.0268,0.74856,0.5574,6.8152,4.8304,0.2019,-0.013019,3
"5443",67638,7.1725,-421.65,20.454,1.3874,0.74659,1.1564,305.74,9.8126,0.323,0.0029658,1
"4576",59163,2.5636,33.449,6.4306,1.6162,0.74538,1.3276,8.4268,20.266,0.2862,-0.035288,4
"12410",125923,6.9223,8.8149,5.173,1.0483,0.74508,0.4152,2.2854,3.6375,0.1398,0.01491,2
"5109",65072,0,87.216,24.766,6.8502,0.74503,6.8549,96.342,25.573,4.3488,0.0017413,3
"17622",173939,1.8818,-125.22,26.103,6.2011,0.74349,5.8782,15.78,19.808,0.5911,-0.061415,6
"4573",59160,2.6547,33.449,6.3085,1.5608,0.74348,1.2821,8.1377,19.571,0.2763,-0.044367,1
"4574",59161,2.5369,33.449,6.4681,1.6333,0.74317,1.3416,8.5155,20.479,0.2892,-0.048843,2
"5108",65071,0,87.216,25.238,6.9553,0.74186,6.9601,97.82,25.965,4.4155,-0.0032178,2
"11191",115626,0.0994,-78.307,8.0145,0.5064,0.74178,0.4974,7.4443,2.1455,0.861,-0.027214,1
"4820",61663,6.3789,-5.9265,5.2923,2.5202,0.74173,1.7631,7.1609,4.6266,1.1092,-0.0039393,2
"4238",56275,4.0008,-1.4368,6.6116,1.0851,0.74142,0.5891,7.202,5.1045,0.2134,0.025665,2
"5392",66717,1.6931,-34.359,9.0182,3.6534,0.74141,3.1908,13.484,20.916,2.3144,0.031422,4
"20575",201600,5.2881,-46.575,5.5918,0.7612,0.74129,0.7213,8.5426,15.94,0.7906,-0.042354,1
"13745",137848,5.0111,-242.69,50.63,8.2269,0.73808,7.0003,3383.6,12.827,1.7022,0.017553,5
"4819",61662,6.4447,-5.9265,5.2527,2.4944,0.73777,1.7451,7.0877,4.5794,1.0979,-0.010219,1
"3846",52043,10.072,-33.255,5.5896,1.0788,0.73726,0.8056,5.0037,11.598,0.2567,-0.14831,6
"4863",61946,1.5948,-108.22,18.325,1.8136,0.73613,1.536,10.521,53.993,3.6706,0.016574,3
"4553",58930,0,-72.609,7.1473,0.8634,0.73593,0.8335,3.5266,38.032,0.8443,-0.026965,5
"20576",201601,5.0641,-46.575,5.8049,0.7949,0.73505,0.7532,8.9205,16.645,0.8255,-0.073691,2
"2456",38779,4.3726,-87.079,12.001,0.8988,0.73258,0.7983,8.7455,2.7218,0.424,-0.10567,2
"21762",214169,0,-75.088,11.075,2.1503,0.73244,2.1532,16.067,15.169,2.2636,-0.11555,6
"11192",115627,0.0967,-78.307,8.0747,0.5205,0.73234,0.5113,7.6525,2.2055,0.8851,-0.016949,2
"16439",162850,2.9964,-92.545,6.0559,0.5969,0.73177,0.5744,5.3064,11.131,0.5346,0.14352,5
"3045",45404,2.7627,-97.676,6.0557,0.9939,0.72984,0.8106,8.3916,4.9728,0.3143,0.0079587,3
"2558",40081,2.5935,545.5,5.8565,1.076,0.7283,0.8454,8.3487,6.8722,0.3372,0.00446,2
"12409",125922,6.9572,8.8149,5.1558,1.0431,0.72822,0.4132,2.2739,3.6192,0.1391,-0.0050302,1
"3765",51470,2.8247,-10.444,4.7054,2.2532,0.72757,1.8187,7.3372,6.8067,1.3892,-0.063659,3
"17619",173936,1.9453,-125.22,25.457,5.9984,0.7265,5.6861,15.264,19.161,0.5718,-0.014413,3
"4240",56277,4.0684,-1.4368,6.5581,1.0671,0.72431,0.5793,7.0823,5.0197,0.2099,-0.029417,4
"17620",173937,1.9217,-125.22,25.692,6.0721,0.72296,5.7559,15.452,19.396,0.5788,-0.013671,4
"3573",50300,3.0893,763.33,5.821,0.8862,0.72273,0.7266,7.5494,4.7712,0.2799,0.071358,3
"4717",60930,2.827,-96.721,6.9727,2.4907,0.72261,2.0542,12.845,8.1379,1.705,0.0095472,1
"5110",65073,0,87.216,24.614,6.8163,0.72189,6.821,95.865,25.446,4.3272,0.012572,4
"12402",125843,3.8103,282.61,4.6607,1.8661,0.71999,1.541,24.185,3.5543,0.1162,-0.057574,6
"5011",63594,3.9455,-52.974,8.9339,17.868,0.71962,14.335,10.931,24.457,0.8434,0.072282,1
"4865",61948,1.6123,-108.22,18.119,1.7939,0.7193,1.5193,10.407,53.407,3.6308,0.0039282,5
"5157",65474,3.3201,10.536,5.6426,1.4577,0.71895,1.2312,8.206,9.9608,1.042,0.024961,3
"4330",56577,0,326.31,9.0331,1.4295,0.71872,1.3709,33.114,13.037,2.2021,0.014532,4
"12563",126814,4.0022,-169.08,16.334,6.1477,0.71848,5.0586,25.104,8.6088,1.7482,-0.027664,5
"4125",55382,2.541,20.955,6.239,2.0773,0.71817,0.781,3.3629,2.6943,0.2639,0.031256,3
"4375",57108,0,-6.0191,8.6861,1.6407,0.71743,1.5552,16.561,13.098,2.6094,0.030913,1
"5155",65472,3.2589,10.536,5.7098,1.4851,0.71574,1.2543,8.36,10.148,1.0615,0.0059681,1
"13230",132647,0,-0.1176,20.48,5.017,0.71561,5.018,56.089,265.68,1.0066,0.055054,6
"4080",55103,2.1771,24.718,9.4234,2.3656,0.71558,1.9434,13.954,10.525,1.8365,-0.17386,6
"21265",208254,1.8396,186.36,7.5049,2.9224,0.71437,2.8696,16.845,51.569,0.6445,-0.01089,1
"22048",217311,4.3104,15.196,19.111,1.3918,0.71362,1.3659,25.333,34.656,3.3343,0.0856,4
"2044",36081,5.3447,73.329,8.9604,0.7121,0.71327,0.6328,5.6985,2.6786,0.312,-0.094932,4
"5654",70291,0.5059,6.2549,14.269,2.4029,0.71075,2.0479,33.435,775.24,2.3659,-0.03932,2
"21366",209537,11.181,-12.077,9.6413,0.8823,0.71033,0.7724,59.039,9.1944,0.7221,0.08283,6
"21412",210777,5.4285,-46.541,5.5607,1.1314,0.71023,1.0621,9.0601,9.5522,0.2787,0.040047,4
"4219",56172,3.07,-1.0002,6.3028,5.0002,0.7101,4.0311,8.2922,8.5483,2.3033,0.048701,1
"3043",45402,2.6651,-97.676,6.1688,1.0303,0.70972,0.8402,8.6989,5.1549,0.3258,0.0037528,1
"4014",53795,1.3059,10394,2.9758,0.755,0.7096,0.6948,3.3597,4.8278,0.8911,0.15284,6
"12564",126815,3.9338,-169.08,16.628,6.2546,0.70918,5.1465,25.54,8.7584,1.7786,-0.028457,6
"4718",60931,2.854,-96.721,6.8989,2.4672,0.7089,2.0348,12.723,8.0609,1.6889,0.056431,2
"5444",67639,7.1937,-421.65,20.426,1.3833,0.70851,1.1529,304.83,9.7836,0.3221,0.0069499,2
"4601",59632,3.543,1.0152,3.0728,1.8616,0.70654,1.5181,7.0599,6.9546,0.4725,0.030198,5
"21410",210775,5.2886,-46.541,5.7027,1.1613,0.70468,1.0902,9.2998,9.8049,0.286,0.02174,2
"4220",56173,3.2195,-1.0002,5.9745,4.768,0.70368,3.8439,7.9071,8.1513,2.1963,-0.016747,2
"4063",54882,26.457,1.4027,6.03,3.8636,0.70344,1.6358,5.7269,2.8668,0.5393,0.036527,1
"12401",125842,3.898,282.61,4.5723,1.8241,0.70302,1.5064,23.641,3.4744,0.1136,-0.071066,5
"5391",66716,1.6896,-34.359,9.0368,3.6611,0.70216,3.1976,13.512,20.96,2.3193,0.015647,3
"5390",66715,1.7415,-34.359,8.7733,3.5519,0.70208,3.1022,13.109,20.335,2.2501,0.013508,2
"5111",65074,0,87.216,24.286,6.7433,0.7005,6.748,94.84,25.174,4.281,0.032299,5
"10568",110491,0.0737,16.771,8.6915,0.4555,0.70031,0.4482,6.6168,2.0636,0.7564,-0.027396,2
"3048",45407,2.5265,-97.676,6.3444,1.0868,0.70024,0.8863,9.1761,5.4377,0.3436,-0.041053,6
"16438",162849,2.995,-92.545,6.0571,0.5972,0.70008,0.5747,5.309,11.136,0.5349,0.056703,4
"3044",45403,2.6751,-97.676,6.1568,1.0264,0.69909,0.8371,8.6664,5.1356,0.3245,0.036621,2
"4578",59165,2.5227,33.449,6.508,1.6514,0.69875,1.3491,8.5634,20.595,0.2908,-0.073438,6
"21413",210778,5.4056,-46.541,5.5834,1.1362,0.698,1.0666,9.0984,9.5926,0.2798,0.048882,5
"4237",56274,4.122,-1.4368,6.517,1.0532,0.69734,0.5717,6.9902,4.9544,0.2071,-0.029417,1
"11193",115628,0.0977,-78.307,8.0516,0.5151,0.69733,0.506,7.5726,2.1825,0.8759,0.024664,3
"21870",216257,3.8083,-70.513,6.4743,2.9681,0.69702,2.8113,10.221,9.9115,0.4543,-0.073166,6
"3838",52029,8.334,11.881,5.534,2.6642,0.69599,1.8714,5.8748,4.045,1.2134,-0.066026,4
"4222",56175,3.0923,-1.0002,6.2517,4.9641,0.69584,4.0019,8.2323,8.4866,2.2866,0.015193,4
"22049",217312,4.4575,15.196,18.785,1.3458,0.69487,1.3208,24.497,33.512,3.2242,0.10752,5
"4260",56339,7.7083,-61.04,4.7799,3.9036,0.69418,3.0768,5.3497,24.21,0.3701,-0.083996,6
"12561",126812,4.0696,-169.08,16.054,6.046,0.69405,4.9748,24.688,8.4663,1.7193,-0.0016762,3
"3836",52027,7.9678,11.881,5.7992,2.7866,0.69309,1.9574,6.1448,4.2309,1.2691,-0.058357,2
"4120",55353,3.5151,5.63,3.2159,1.8999,0.69222,1.5557,6.9564,4.8804,0.4583,-0.17968,4
"12562",126813,4.039,-169.08,16.18,6.0918,0.69174,5.0125,24.875,8.5304,1.7323,-0.010766,4
"4597",59628,3.5308,1.0152,3.0861,1.8681,0.69072,1.5234,7.0843,6.9786,0.4741,-0.016943,1
"21758",214165,0,-75.088,10.441,1.9922,0.68947,1.9949,14.886,14.053,2.0972,0.0025822,2
"17618",173935,1.9574,-125.22,25.34,5.9615,0.68931,5.6511,15.171,19.043,0.5683,-0.002302,2
"12856",129237,6.4307,80.28,12.478,4.761,0.68709,4.3439,13.019,16.394,0.5639,0.021768,4
"3841",52038,10.163,-33.255,5.5566,1.0692,0.68661,0.7984,4.9588,11.494,0.2544,-0.075281,1
"11420",116725,0,-2.8031,11.266,1.7177,0.68592,1.6454,25.987,16.309,2.6387,0.0035504,2
"19799",194236,1.6979,-142.19,8.581,2.2713,0.68548,2.2127,12.493,40.657,1.1338,-0.032422,5
"19795",194232,1.7777,-142.19,8.244,2.1694,0.68547,2.1133,11.932,38.831,1.0829,-0.005473,1
"14512",145155,1.2205,660,5.5613,0.7094,0.68467,0.6814,62.932,8.0931,0.1261,0.084053,4
"3971",53290,0.9694,-0.8051,7.1671,1.2353,0.68372,1.101,10.834,24.94,0.4321,-0.088038,5
"4418",57397,4.8527,15.108,6.6169,12.917,0.68362,10.413,8.0418,19.116,0.6575,-0.071528,2
"4481",58210,3.0087,-168.82,10.316,1.7311,0.68352,1.4414,14.835,12.809,1.4547,0.083952,5
"4506",58529,0,0.0245,8.3896,2.9125,0.68331,2.9173,13.195,22.009,2.0258,0.077882,6
"7853",89554,0,-25.47,7.2947,1.1473,0.68227,1.11,15.911,14.984,1.0388,-0.064036,5
"4423",57408,7.3704,-6.5393,7.8397,3.2043,0.68181,2.3172,6.002,8.3793,1.8465,-0.0042009,1
