"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"19567",192120,3.1056,-138.27,5.932,0.5275,1.0783,0.5147,9.4682,24.896,1.2403,-0.03617,1
"12640",127305,0,81.764,9.6493,1.1174,1.0763,1.0626,26.632,18.151,1.7728,0.066571,4
"4586",59407,0,-0.2665,16.071,4.7218,1.0756,4.7547,74.286,18.683,2.9271,0.054511,2
"4290",56405,3.4354,-59.115,4.3493,2.0212,1.0754,1.6354,7.5061,6.0078,1.2506,0.063127,6
"4285",56400,3.3322,-59.115,4.5049,2.0838,1.0732,1.686,7.7384,6.1937,1.2893,0.043879,1
"3940",52857,2.1392,-17.136,7.1984,1.3055,1.0703,1.0771,5.137,15.483,2.27,0.041023,4
"4591",59430,1.3959,-29.885,2.2794,1.3915,1.0692,1.2193,3.367,3.125,0.5305,0.08603,1
"12834",128945,1.1271,-180.4,6.7379,0.7584,1.0683,0.7249,136.16,17.412,0.1273,0.0058455,6
"11687",118942,28.829,27.825,5.2578,0.9247,1.0673,0.5811,11.031,3.4436,0.4912,0.01173,5
"4025",54184,0,19.179,8.4596,2.8403,1.0646,2.836,12.552,30.978,1.9523,0.15258,5
"3854",52099,3.7012,-9.8446,6.3849,0.9883,1.0627,0.53,6.5616,2.6877,0.2278,-0.099338,2
"21300",208451,4.7196,-16.951,5.4752,0.885,1.0613,0.8424,8.3859,9.1956,0.9181,0.059728,6
"12730",127827,3.4242,56.599,5.2667,1.0674,1.0607,0.9718,4.2669,16.505,0.9384,-0.06956,4
"3877",52302,0,25.869,9.7786,1.7887,1.059,1.6648,17.496,12.999,2.7846,0.032028,1
"22319",219838,11.092,-286.26,45.514,3.672,1.0564,3.5839,17.937,234.84,2.4044,-0.02243,5
"4589",59410,0,-0.2665,15.875,4.68,1.0545,4.7126,73.629,18.518,2.9012,0.058982,5
"3799",51720,0,-17.697,6.3042,0.8512,1.0534,0.8515,9.8999,7.5953,1.6234,0.026528,1
"21299",208450,4.554,-16.951,5.6271,0.9172,1.0531,0.873,8.6907,9.5299,0.9515,-0.021311,5
"4585",59406,0,-0.2665,17.324,4.9887,1.0529,5.0235,78.486,19.74,3.0926,0.056538,1
"3880",52305,0,25.869,9.1264,1.6927,1.0523,1.5755,16.557,12.302,2.6352,0.1329,4
"3963",53240,0,2305.3,5.1745,0.8364,1.0517,0.7502,4.9566,4.7647,0.6304,0.089111,3
"4026",54185,0,19.179,8.6032,2.883,1.0512,2.8786,12.741,31.444,1.9817,0.30678,6
"4015",54102,4.2735,30.788,7.5438,0.6474,1.0511,0.3501,6.6985,2.4587,0.5973,0.085169,1
"3962",53239,0,2305.3,5.2316,0.8615,1.0494,0.7727,5.1054,4.9078,0.6493,0.13872,2
"4845",61820,4.2827,102.99,9.9947,1.7938,1.0494,1.5847,8.3756,5.2009,0.643,-0.10912,3
"4588",59409,0,-0.2665,16.011,4.709,1.049,4.7419,74.086,18.633,2.9193,0.065968,4
"11685",118940,28.829,27.825,5.2578,0.9247,1.0477,0.5811,11.031,3.4436,0.4912,0.066845,3
"19568",192121,2.9932,-138.27,6.0318,0.5473,1.0466,0.5341,9.8236,25.83,1.2869,-0.0373,2
"4228",56259,2.4347,-24.716,5.5096,2.8305,1.0455,2.443,7.5329,13,1.5195,-0.072426,4
"3738",51389,1.5343,8.0947,8.2028,4.0812,1.0428,3.5043,11.189,17.039,2.3501,-0.19565,6
"5552",69217,7.8714,125.3,7.3442,0.7045,1.0417,0.6371,13.533,15.302,0.4178,-0.0056086,2
"21296",208447,4.7334,-16.951,5.4629,0.8824,1.0402,0.8399,8.3613,9.1687,0.9154,-0.0067857,2
"4660",60675,3.6094,-24.567,5.1115,1.3567,1.0395,1.1132,6.8048,9.0581,0.8612,0.0066203,4
"4107",55334,0,53.556,5.001,1.0643,1.0377,1.0107,3.1683,4.4424,0.8911,-0.047262,3
"3937",52854,2.0811,-17.136,7.4191,1.342,1.0365,1.1072,5.2803,15.915,2.3334,0.12513,1
"5242",65865,1.2256,124.4,7.4995,5.885,1.035,4.7187,17.535,96.879,1.2368,0.18307,4
"4850",61867,2.0908,-18.676,6.6302,3.1394,1.0334,2.7292,9.3707,18.951,1.7885,-0.00042939,2
"4249",56304,2.1996,10.762,3.8024,2.1115,1.0326,1.8962,4.3788,17.14,0.7907,0.083092,1
"5202",65675,12.15,36.148,5.4145,1.0257,1.031,0.8035,5.8152,3.8092,0.5169,0.15779,6
"11347",116370,0,-26.817,10.575,7.9811,1.0289,7.9865,20.082,18.261,1.5286,-0.013708,1
"4844",61819,4.1536,102.99,10.101,1.8495,1.0281,1.634,8.6359,5.3626,0.663,0.02371,2
"3856",52101,3.7497,-9.8446,6.3434,0.9755,1.0268,0.5231,6.4767,2.6529,0.2249,-0.055627,4
"3670",51009,18.349,-42.222,6.7239,1.032,1.0216,0.8385,9.9088,12.907,0.8443,-0.3114,4
"11348",116371,0,-26.817,10.742,8.0922,1.0216,8.0977,20.361,18.515,1.5499,-0.075489,2
"4851",61868,2.0729,-18.676,6.6855,3.1666,1.0191,2.7528,9.4518,19.115,1.804,0.056914,3
"5232",65843,8.2483,-138.29,6.2069,2.6302,1.0181,2.1743,6.9489,6.7054,0.3576,0.21555,6
"5320",66375,4.6026,62.286,6.9493,0.874,1.0148,0.4842,4.5526,3.489,0.2003,0.02339,4
"4554",58931,0,-72.609,7.1695,0.8681,1.0131,0.838,3.5457,38.238,0.8488,-0.054995,6
"4590",59411,0,-0.2665,16.02,4.7109,1.0131,4.7437,74.114,18.64,2.9204,0.02271,6
"4288",56403,3.4664,-59.115,4.3044,2.0032,1.0109,1.6207,7.439,5.9541,1.2394,-0.0019953,4
"22417",222042,5.5725,-57.609,6.465,2.5916,1.0098,2.5108,9.166,7.0423,0.392,0.0065135,1
"4768",61179,0,-66.344,11.754,1.6891,1.0093,1.6891,42.915,25.829,2.7836,-0.02914,4
"22317",219836,11.258,-286.26,45.287,3.6177,1.008,3.5309,17.671,231.36,2.3688,0.017399,3
"21937",216474,5.5553,-37.465,3.675,2.6961,1.0019,2.6135,7.6387,8.0159,0.4307,-0.013851,1
"21938",216475,5.4784,-37.465,3.7235,2.734,1.0007,2.6502,7.746,8.1285,0.4368,-0.026215,2
"4587",59408,0,-0.2665,16.113,4.7308,0.99728,4.7638,74.429,18.719,2.9328,0.059391,3
"3858",52103,3.884,-9.8446,6.2342,0.9418,0.99708,0.505,6.2528,2.5612,0.2171,-0.062281,6
"3855",52100,3.5508,-9.8446,6.5205,1.0301,0.99604,0.5524,6.8395,2.8016,0.2375,-0.048878,3
"4286",56401,3.4784,-59.115,4.2871,1.9962,0.99561,1.6151,7.4132,5.9334,1.2351,0.029537,2
"3853",52098,3.9424,-9.8446,6.189,0.9278,0.99358,0.4975,6.1602,2.5233,0.2139,-0.061179,1
"11684",118939,29.397,27.825,5.2232,0.9069,0.99219,0.5699,10.818,3.3771,0.4817,0.041052,2
"4037",54286,1.654,-35.521,4.9647,0.8468,0.99008,0.6815,5.6208,9.7864,0.6116,0.17369,5
"19996",195513,4.588,-23.158,4.982,0.8589,0.98939,0.819,7.8566,18.396,0.8297,-0.040985,4
"4846",61821,3.727,102.99,10.502,2.0612,0.98634,1.821,9.6244,5.9764,0.7389,-0.060901,4
"20299",199656,0,-32.33,3.3317,1.3141,0.98572,1.3147,5.4688,13.619,0.9894,0.041725,1
"18252",179501,2.216,101.61,16.604,5.4429,0.9857,5.1809,12.203,9.0834,0.5124,-0.052729,6
"22318",219837,11.124,-286.26,45.469,3.6612,0.98531,3.5733,17.884,234.15,2.3973,0.014389,4
"2046",36083,5.6676,73.329,8.7113,0.6715,0.98302,0.5967,5.3739,2.526,0.2942,-0.064834,6
"4039",54288,0,-1.8584,7.8041,3.0779,0.9826,2.603,10.752,8.8781,2.2879,0.065694,1
"22418",222043,5.6088,-57.609,6.4394,2.5748,0.97994,2.4946,9.1067,6.9968,0.3895,-0.021583,2
"4012",53793,1.2836,10394,3.0044,0.7681,0.97819,0.7069,3.4181,4.9117,0.9066,0.29923,4
"4478",58207,2.7582,-168.82,11.398,1.8883,0.97682,1.5723,16.182,13.973,1.5868,-0.0029349,2
"5317",66372,4.4053,62.286,7.0908,0.9132,0.97624,0.5059,4.7565,3.6452,0.2092,0.010104,1
"4767",61178,0,-66.344,12.176,1.7385,0.97584,1.7385,44.17,26.585,2.865,-0.025678,3
"4849",61866,2.0738,-18.676,6.6828,3.1652,0.97486,2.7516,9.4477,19.106,1.8032,0.008219,1
"22419",222044,5.4522,-57.609,6.5524,2.6487,0.9744,2.5662,9.3682,7.1977,0.4006,-0.0032237,3
"4657",60672,3.4745,-24.567,5.2319,1.4094,0.97163,1.1564,7.069,9.4099,0.8947,-0.028908,1
"16435",162846,2.8357,-92.545,6.1988,0.6308,0.97106,0.607,5.6073,11.762,0.5649,0.022786,1
"11683",118938,27.692,27.825,5.3312,0.9627,0.9674,0.605,11.484,3.585,0.5114,0.061576,1
"12641",127306,0,81.764,8.7939,1.0483,0.96653,0.9969,24.986,17.029,1.6632,0.065082,5
"11349",116372,0,-26.817,11.553,8.633,0.96555,8.6389,21.722,19.752,1.6535,-0.10426,3
"4766",61177,0,-66.344,12.135,1.7337,0.96533,1.7337,44.047,26.511,2.8571,-0.053361,2
"4794",61301,4.0861,-271.97,4.6006,0.8738,0.96403,0.7916,45.93,0.3797,0.4827,-0.083303,6
"4769",61180,0,-66.344,11.806,1.6951,0.96188,1.6951,43.068,25.921,2.7936,-0.052705,5
"3677",51016,7.7902,-23.296,7.0671,2.0155,0.96174,1.4107,7.473,6.064,0.8718,-0.14176,5
"19998",195515,4.4582,-23.158,5.1123,0.8839,0.96148,0.8429,8.0853,18.932,0.8538,-0.03162,6
"5231",65842,8.2147,-138.29,6.227,2.6409,0.96059,2.1832,6.9773,6.7328,0.359,0.167,5
"4250",56305,2.3824,10.762,3.5354,1.9495,0.95986,1.7507,4.0429,15.825,0.73,0.029909,2
"3768",51473,2.5579,-10.444,5.2434,2.4883,0.95927,2.0085,8.1026,7.5168,1.5341,-0.046978,6
"4659",60674,3.511,-24.567,5.1985,1.3948,0.95918,1.1444,6.9956,9.3122,0.8854,0.03884,3
"4289",56404,3.3256,-59.115,4.5153,2.088,0.95774,1.6893,7.7539,6.2061,1.2919,0.030952,5
"4038",54287,1.6023,-35.521,5.0643,0.8703,0.95773,0.7035,5.8023,10.102,0.6314,0.39487,6
"22315",219834,10.934,-286.26,45.735,3.7249,0.95628,3.6355,18.195,238.22,2.439,0.038561,1
"4230",56261,2.4028,-24.716,5.5803,2.8681,0.95574,2.4755,7.633,13.173,1.5397,-0.12961,6
"3767",51472,2.4262,-10.444,5.4863,2.5944,0.95565,2.1175,8.5424,7.9248,1.6174,-0.078814,5
"3678",51017,7.5862,-23.296,7.2418,2.0697,0.95124,1.4487,7.6739,6.2271,0.8952,-0.22408,6
"21298",208449,4.543,-16.951,5.6376,0.9194,0.95093,0.8751,8.7118,9.553,0.9538,-0.055644,4
"3882",52307,0,25.869,8.0137,1.529,0.94843,1.4231,14.956,11.112,2.3803,0.067377,6
"4770",61181,0,-66.344,12.166,1.7373,0.94788,1.7373,44.139,26.566,2.8631,0.014105,6
"22316",219835,11.356,-286.26,45.157,3.5866,0.94619,3.5005,17.519,229.38,2.3485,0.029637,2
"19997",195514,4.4274,-23.158,5.1443,0.89,0.94597,0.8488,8.1416,19.063,0.8598,-0.034314,5
"3463",48546,7.221,12.388,5.8637,0.5244,0.94301,0.4323,6.8904,5.3056,0.6798,-0.015741,1
"19006",186273,3.1234,-8.4647,4.7763,0.5112,0.94229,0.4959,7.8221,19.381,1.1549,0.044794,4
"3959",53152,1.2336,-12.978,3.3862,2.0364,0.9412,1.6654,4.929,5.4188,0.7242,-0.16618,5
"5553",69218,7.8891,125.3,7.338,0.7033,0.93926,0.6357,13.503,15.268,0.4169,0.081817,3
"21297",208448,4.7897,-16.951,5.4141,0.8721,0.93797,0.8301,8.2632,9.0611,0.9047,-0.057923,3
"11352",116375,0,-26.817,10.84,8.1576,0.93794,8.1632,20.526,18.665,1.5624,-0.018097,6
"3763",51468,2.7767,-10.444,4.7946,2.2922,0.93753,1.8502,7.4641,6.9244,1.4132,0.0011328,1
"19005",186272,2.9828,-8.4647,4.8779,0.5353,0.93752,0.5193,8.191,20.294,1.2093,0.043528,3
"12642",127307,0,81.764,8.8121,1.0498,0.93738,0.9983,25.021,17.053,1.6655,0.049657,6
"3161",46246,13.994,66.667,7.5853,1.1948,0.93651,0.9511,10.105,12.276,0.9589,-0.13433,5
"4105",55332,0,53.556,4.9598,1.0527,0.93602,0.9997,3.1338,4.3939,0.8814,-0.024203,1
"21892",216339,6.1635,-36.471,6.9247,0.9692,0.93584,0.9183,8.093,8.5653,0.2481,-0.021272,4
"18251",179500,2.1929,101.61,16.732,5.5003,0.93375,5.2355,12.332,9.1792,0.5178,-0.036915,5
"19572",192125,3.1436,-138.27,5.8998,0.5212,0.93268,0.5085,9.3536,24.595,1.2253,0.027362,6
"3842",52039,9.3975,-33.255,5.8536,1.1562,0.9317,0.8634,5.3625,12.43,0.2751,-0.13328,2
"4661",60676,3.4975,-24.567,5.2107,1.4001,0.92972,1.1488,7.0225,9.348,0.8888,-0.019014,5
"4010",53791,1.1165,10394,3.2554,0.8831,0.92955,0.8127,3.9297,5.647,1.0423,0.13761,2
"4252",56307,2.4168,10.762,3.4896,1.9217,0.92864,1.7258,3.9853,15.599,0.7196,0.028751,4
"5318",66373,4.4498,62.286,7.0578,0.9041,0.92861,0.5009,4.7089,3.6087,0.2071,0,2
"3748",51429,1.917,13.636,4.6836,2.5195,0.92688,2.2919,5.1077,22.518,0.9525,-0.15109,4
"3813",51800,7.4585,5.2611,8.1438,3.1199,0.92566,2.2015,6.0725,6.5497,1.8234,0.063142,3
"22422",222047,5.6675,-57.609,6.3987,2.5481,0.92543,2.4687,9.0124,6.9243,0.3854,0.037852,6
"19004",186271,2.8479,-8.4647,4.9847,0.5606,0.92534,0.5438,8.5788,21.255,1.2666,-0.00346,2
"2045",36082,5.435,73.329,8.8877,0.7002,0.92428,0.6223,5.6038,2.6341,0.3068,-0.056204,5
"3780",51569,5.0121,-23.082,5.0214,3.1228,0.92402,2.3959,6.1096,10.647,0.4676,-0.04214,6
"4114",55341,0,0.2174,16.486,5.1657,0.92386,5.2084,85.161,17.784,3.1641,-0.19795,4
"5319",66374,4.4053,62.286,7.0908,0.9132,0.92065,0.5059,4.7565,3.6452,0.2092,0.04478,3
"19994",195511,4.5543,-23.158,5.0151,0.8652,0.92009,0.8251,7.9147,18.532,0.8358,-0.02959,2
"5322",66377,4.6302,62.286,6.9304,0.8688,0.91828,0.4813,4.5254,3.4681,0.1991,0.085269,6
"4287",56402,3.4306,-59.115,4.3563,2.024,0.91809,1.6376,7.5164,6.016,1.2523,0.040252,3
