"","date","ticker","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","dy","ev2ebitda","m2b","pb","pe","pf","ps","mom","days","est_earning","surprise.1","ret_yesterday","y.return01"
"126","2017-02-18","TRGP",11,0,0,0,0,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,0.66518,3,0.071,-131.9,0.00273364086793082,1
"127","2017-02-21","TRGP",11,0,0,0,0,2,0,0,2,0,2,6.2244,20.9024,2.535,2.4143,NA,32.4469,1.3101,0.63827,6,0.071,-131.9,0.00273364086793082,0
"128","2016-07-21","CDE",10,0,0,0,0,0,0,0,0,0,1,NA,NA,4.3602,4.359,NA,NA,2.9604,0.67906,-6,0.031,254.8,0.36473165388828,1
"129","2016-07-22","CDE",10,0,0,0,0,0,0,0,0,0,0,NA,NA,4.3929,4.3918,NA,NA,2.9826,0.69655,-5,0.031,254.8,0.0690208667736758,1
"130","2016-07-27","CDE",115,0,1,0,1,1,0,2,2,2,3,NA,NA,4.6272,4.6274,NA,NA,3.1426,0.71938,0,0.031,254.8,0.0112612612612613,1
"131","2016-07-28","CDE",23,0,0,0,0,0,0,0,0,0,0,NA,NA,4.8236,4.8237,NA,NA,3.276,0.73692,1,0.031,254.8,0.0497401633259094,1
"132","2016-07-29","CDE",35,0,0,0,0,0,0,0,1,0,0,NA,NA,5.0134,5.0136,NA,NA,3.4049,0.74966,2,0.031,254.8,0.0424328147100423,1
"133","2016-08-01","CDE",17,0,0,0,0,0,0,0,1,0,0,NA,NA,5.1181,5.1183,NA,NA,3.476,0.79436,5,0.031,254.8,0.039348710990502,1
"134","2016-08-02","CDE",11,0,0,0,0,0,0,0,0,0,0,NA,NA,5.1083,5.1085,NA,NA,3.4694,0.7918,6,0.031,254.8,0.0208877284595301,0
"135","2016-07-26","MEET",13,0,0,0,0,0,0,0,0,0,0,0,20.5494,2.2011,2.3139,NA,20.5607,4.7052,0.74495,-6,0.065,38.5,0.358333333333333,0
"136","2016-07-29","MEET",12,0,0,0,0,0,0,0,2,0,2,0,20.5494,2.2011,2.3139,NA,20.5607,4.7052,0.74495,-3,0.065,38.5,-0.01840490797546,1
"137","2016-07-31","MEET",8,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.71719,-1,0.065,38.5,0.00468749999999996,1
"138","2016-08-01","MEET",180,0,2,0,0,0,0,0,2,0,4,0,24.1134,2.5434,2.6737,NA,23.7583,5.4369,0.7154,0,0.065,38.5,0.00468749999999996,1
"139","2016-08-02","MEET",34,0,1,0,0,0,0,0,0,0,1,0,22.5453,2.3928,2.5154,NA,22.3514,5.115,0.74697,1,0.065,38.5,0.15552099533437,0
"140","2016-08-03","MEET",13,0,1,0,0,1,0,1,1,0,3,0,23.757,2.5091,2.6377,NA,23.4386,5.3638,0.75107,2,0.065,38.5,-0.0592193808882906,1
"141","2016-08-04","MEET",15,0,0,0,0,0,0,0,0,0,1,0,26.0873,2.733,2.6125,NA,23.2147,5.3125,0.76671,3,0.065,38.5,0.0486409155937053,0
"142","2016-08-07","MEET",12,0,2,0,0,0,0,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,0.77748,6,0.065,38.5,-0.343792633015007,0
"143","2016-11-02","HL",10,2,0,1,1,0,0,0,0,2,0,0.163,13.2123,1.6657,1.667,37.8936,62.844,3.9328,0.63798,-6,0.064,9.4,-0.0490932070472507,1
"144","2016-11-04","HL",25,0,0,0,0,0,0,0,0,0,0,0.1549,13.8181,1.7525,1.7538,39.8685,66.1193,4.1377,0.66029,-4,0.064,9.4,0.00638941822665617,1
"145","2016-11-05","HL",11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.6542,-3,0.064,9.4,0.0270343379053559,1
"146","2016-11-07","HL",8,0,0,0,0,1,0,0,1,0,1,0.1512,14.121,1.7959,1.7973,40.856,67.7569,4.2402,0.67441,-1,0.064,9.4,0.0270343379053559,1
"147","2016-11-08","HL",218,0,3,0,1,1,0,0,1,0,5,0.1396,15.1904,1.9491,1.9466,44.2504,73.3862,4.5925,0.7124,0,0.064,9.4,0.0247579208304283,1
"148","2016-11-09","HL",57,0,0,0,0,0,0,0,2,0,1,0.1382,15.3232,1.9682,1.9656,44.6824,74.1027,4.6373,0.73168,1,0.064,9.4,0.0830926931043345,1
